sequence:0|latency:0.095669|reception:0.095669|generation:0.0
sequence:1|latency:0.204244|reception:0.234546|generation:0.030302
sequence:2|latency:0.274243|reception:0.346179|generation:0.071936
sequence:3|latency:0.365659|reception:0.464698|generation:0.099039
sequence:4|latency:0.346228|reception:0.562941|generation:0.216713
sequence:5|latency:0.424589|reception:0.699688|generation:0.275099
sequence:6|latency:0.410924|reception:0.77639|generation:0.365466
sequence:7|latency:0.458227|reception:0.861103|generation:0.402876
sequence:8|latency:0.451719|reception:0.924085|generation:0.472366
sequence:9|latency:0.55751|reception:1.04396|generation:0.48645
sequence:10|latency:0.149086|reception:1.297963|generation:1.148877
sequence:11|latency:0.269681|reception:1.430839|generation:1.161158
sequence:12|latency:0.300333|reception:1.570497|generation:1.270164
sequence:13|latency:0.29887|reception:1.662409|generation:1.363539
sequence:14|latency:0.199428|reception:1.793107|generation:1.593679
sequence:15|latency:0.116304|reception:1.895509|generation:1.779205
sequence:16|latency:0.203712|reception:2.004691|generation:1.800979
sequence:17|latency:0.263096|reception:2.145999|generation:1.882903
sequence:18|latency:0.103189|reception:2.328636|generation:2.225447
sequence:19|latency:0.072149|reception:2.409584|generation:2.337435
sequence:20|latency:0.169447|reception:2.544129|generation:2.374682
sequence:21|latency:0.22863|reception:2.676428|generation:2.447798
sequence:22|latency:0.212889|reception:2.75111|generation:2.538221
sequence:23|latency:0.346619|reception:2.904949|generation:2.55833
sequence:24|latency:0.387652|reception:2.96894|generation:2.581288
sequence:25|latency:0.496012|reception:3.100383|generation:2.604371
sequence:26|latency:0.535058|reception:3.23374|generation:2.698682
sequence:27|latency:0.469869|reception:3.376484|generation:2.906615
sequence:28|latency:0.34798|reception:3.516702|generation:3.168722
sequence:29|latency:0.470798|reception:3.645176|generation:3.174378
sequence:30|latency:0.444868|reception:3.732988|generation:3.28812
sequence:31|latency:0.322736|reception:3.828804|generation:3.506068
sequence:32|latency:0.535667|reception:4.079417|generation:3.54375
sequence:33|latency:0.605426|reception:4.149372|generation:3.543946
sequence:34|latency:0.660984|reception:4.216965|generation:3.555981
sequence:35|latency:0.316306|reception:4.321395|generation:4.005089
sequence:36|latency:0.349212|reception:4.412842|generation:4.06363
sequence:37|latency:0.323832|reception:4.509524|generation:4.185692
sequence:38|latency:0.393158|reception:4.614422|generation:4.221264
sequence:39|latency:0.271459|reception:4.758113|generation:4.486654
sequence:40|latency:0.201511|reception:4.865938|generation:4.664427
sequence:41|latency:0.286361|reception:4.986006|generation:4.699645
sequence:42|latency:0.377392|reception:5.080914|generation:4.703522
sequence:43|latency:0.402111|reception:5.171949|generation:4.769838
sequence:44|latency:0.31924|reception:5.312348|generation:4.993108
sequence:45|latency:0.126356|reception:5.392116|generation:5.26576
sequence:46|latency:0.244408|reception:5.548279|generation:5.303871
sequence:47|latency:0.318655|reception:5.630682|generation:5.312027
sequence:48|latency:0.399362|reception:5.77825|generation:5.378888
sequence:49|latency:0.485845|reception:5.897677|generation:5.411832
sequence:50|latency:0.438627|reception:5.988545|generation:5.549918
sequence:51|latency:0.408287|reception:6.114737|generation:5.70645
sequence:52|latency:0.401315|reception:6.264291|generation:5.862976
sequence:53|latency:0.491357|reception:6.39437|generation:5.903013
sequence:54|latency:0.289182|reception:6.519059|generation:6.229877
sequence:55|latency:0.119715|reception:6.755169|generation:6.635454
sequence:56|latency:0.185515|reception:6.897286|generation:6.711771
sequence:57|latency:0.248799|reception:7.044516|generation:6.795717
sequence:58|latency:0.201777|reception:7.191413|generation:6.989636
sequence:59|latency:0.268707|reception:7.318848|generation:7.050141
sequence:60|latency:0.309946|reception:7.457216|generation:7.14727
sequence:61|latency:0.333107|reception:7.555168|generation:7.222061
sequence:62|latency:0.419995|reception:7.682282|generation:7.262287
sequence:63|latency:0.320541|reception:7.839048|generation:7.518507
sequence:64|latency:0.307923|reception:7.901517|generation:7.593594
sequence:65|latency:0.373006|reception:8.025115|generation:7.652109
sequence:66|latency:0.28003|reception:8.173533|generation:7.893503
sequence:67|latency:0.087176|reception:8.290043|generation:8.202867
sequence:68|latency:0.208267|reception:8.425287|generation:8.21702
sequence:69|latency:0.328901|reception:8.568318|generation:8.239417
sequence:70|latency:0.173816|reception:8.626826|generation:8.45301
sequence:71|latency:0.127857|reception:8.888431|generation:8.760574
sequence:72|latency:0.183446|reception:9.012372|generation:8.828926
sequence:73|latency:0.153339|reception:9.230893|generation:9.077554
sequence:74|latency:0.172365|reception:9.306781|generation:9.134416
sequence:75|latency:0.225337|reception:9.407511|generation:9.182174
sequence:76|latency:0.178032|reception:9.548685|generation:9.370653
sequence:77|latency:0.137642|reception:9.644372|generation:9.50673
sequence:78|latency:0.173825|reception:9.7415|generation:9.567675
sequence:79|latency:0.19705|reception:9.803985|generation:9.606935
sequence:80|latency:0.33327|reception:9.940739|generation:9.607469
total run time:9.84507
