sequence:0|latency:0.106549|reception:0.106549|generation:0.0
sequence:1|latency:0.169298|reception:0.219652|generation:0.050354
sequence:2|latency:0.287633|reception:0.347744|generation:0.060111
sequence:3|latency:0.262708|reception:0.429737|generation:0.167029
sequence:4|latency:0.371558|reception:0.551014|generation:0.179456
sequence:5|latency:0.280258|reception:0.620811|generation:0.340553
sequence:6|latency:0.334866|reception:0.722537|generation:0.387671
sequence:7|latency:0.382359|reception:0.789849|generation:0.40749
sequence:8|latency:0.48318|reception:0.929154|generation:0.445974
sequence:9|latency:0.490503|reception:1.031855|generation:0.541352
sequence:10|latency:0.291853|reception:1.115088|generation:0.823235
sequence:11|latency:0.345775|reception:1.287812|generation:0.942037
sequence:12|latency:0.364587|reception:1.375863|generation:1.011276
sequence:13|latency:0.386415|reception:1.519557|generation:1.133142
sequence:14|latency:0.275141|reception:1.589547|generation:1.314406
sequence:15|latency:0.314661|reception:1.664158|generation:1.349497
sequence:16|latency:0.260875|reception:1.764097|generation:1.503222
sequence:17|latency:0.414307|reception:1.921904|generation:1.507597
sequence:18|latency:0.268612|reception:2.005346|generation:1.736734
sequence:19|latency:0.265673|reception:2.092506|generation:1.826833
sequence:20|latency:0.300986|reception:2.217902|generation:1.916916
sequence:21|latency:0.415897|reception:2.340798|generation:1.924901
sequence:22|latency:0.293596|reception:2.409284|generation:2.115688
sequence:23|latency:0.224309|reception:2.520312|generation:2.296003
sequence:24|latency:0.2915|reception:2.6598|generation:2.3683
sequence:25|latency:0.234664|reception:2.800099|generation:2.565435
sequence:26|latency:0.280899|reception:2.872857|generation:2.591958
sequence:27|latency:0.338709|reception:3.025154|generation:2.686445
sequence:28|latency:0.445055|reception:3.16122|generation:2.716165
sequence:29|latency:0.412675|reception:3.231359|generation:2.818684
sequence:30|latency:0.460653|reception:3.356729|generation:2.896076
sequence:31|latency:0.41463|reception:3.487794|generation:3.073164
sequence:32|latency:0.526604|reception:3.601411|generation:3.074807
sequence:33|latency:0.508412|reception:3.682614|generation:3.174202
sequence:34|latency:0.552183|reception:3.791064|generation:3.238881
sequence:35|latency:0.628205|reception:3.881445|generation:3.25324
sequence:36|latency:0.653853|reception:3.961295|generation:3.307442
sequence:37|latency:0.566693|reception:4.058358|generation:3.491665
sequence:38|latency:0.662407|reception:4.191618|generation:3.529211
sequence:39|latency:0.625548|reception:4.286152|generation:3.660604
sequence:40|latency:0.703986|reception:4.423611|generation:3.719625
sequence:41|latency:0.817879|reception:4.565807|generation:3.747928
sequence:42|latency:0.830693|reception:4.632081|generation:3.801388
sequence:43|latency:0.699369|reception:4.767342|generation:4.067973
sequence:44|latency:0.545994|reception:4.893346|generation:4.347352
sequence:45|latency:0.63445|reception:5.009047|generation:4.374597
sequence:46|latency:0.765541|reception:5.164875|generation:4.399334
sequence:47|latency:0.785615|reception:5.311954|generation:4.526339
sequence:48|latency:0.870341|reception:5.42967|generation:4.559329
sequence:49|latency:0.968206|reception:5.538962|generation:4.570756
sequence:50|latency:1.019094|reception:5.62536|generation:4.606266
sequence:51|latency:0.96455|reception:5.771111|generation:4.806561
sequence:52|latency:1.066329|reception:5.893311|generation:4.826982
sequence:53|latency:1.183172|reception:6.024894|generation:4.841722
sequence:54|latency:1.323249|reception:6.283409|generation:4.96016
sequence:55|latency:1.295841|reception:6.37468|generation:5.078839
sequence:56|latency:0.919262|reception:6.437996|generation:5.518734
sequence:57|latency:0.811721|reception:6.577976|generation:5.766255
sequence:58|latency:0.919175|reception:6.71994|generation:5.800765
sequence:59|latency:0.971758|reception:6.800319|generation:5.828561
sequence:60|latency:1.047806|reception:6.956242|generation:5.908436
sequence:61|latency:0.945368|reception:7.026305|generation:6.080937
sequence:62|latency:1.079241|reception:7.166213|generation:6.086972
sequence:63|latency:1.105608|reception:7.276151|generation:6.170543
sequence:64|latency:1.130784|reception:7.359508|generation:6.228724
sequence:65|latency:1.114486|reception:7.419474|generation:6.304988
sequence:66|latency:1.147079|reception:7.571055|generation:6.423976
sequence:67|latency:1.060894|reception:7.674218|generation:6.613324
sequence:68|latency:1.091512|reception:7.750069|generation:6.658557
sequence:69|latency:0.69506|reception:7.823268|generation:7.128208
sequence:70|latency:0.695802|reception:7.908893|generation:7.213091
sequence:71|latency:0.651382|reception:8.025981|generation:7.374599
sequence:72|latency:0.712862|reception:8.114368|generation:7.401506
sequence:73|latency:0.44324|reception:8.192412|generation:7.749172
sequence:74|latency:0.437951|reception:8.31697|generation:7.879019
sequence:75|latency:0.560891|reception:8.458183|generation:7.897292
sequence:76|latency:0.667677|reception:8.587766|generation:7.920089
sequence:77|latency:0.527302|reception:8.720398|generation:8.193096
sequence:78|latency:0.391721|reception:8.796111|generation:8.40439
sequence:79|latency:0.409784|reception:8.880033|generation:8.470249
sequence:80|latency:0.480796|reception:8.954636|generation:8.47384
sequence:81|latency:0.530839|reception:9.022914|generation:8.492075
sequence:82|latency:0.581385|reception:9.114565|generation:8.53318
sequence:83|latency:0.670515|reception:9.228519|generation:8.558004
sequence:84|latency:0.703655|reception:9.297794|generation:8.594139
sequence:85|latency:0.821309|reception:9.416661|generation:8.595352
sequence:86|latency:0.654291|reception:9.484915|generation:8.830624
sequence:87|latency:0.743042|reception:9.607793|generation:8.864751
sequence:88|latency:0.555286|reception:9.681697|generation:9.126411
sequence:89|latency:0.621294|reception:9.768417|generation:9.147123
sequence:90|latency:0.683772|reception:9.90624|generation:9.222468
total run time:9.799691
