sequence:0|latency:0.267157|reception:0.267157|generation:0.0
sequence:1|latency:0.311974|reception:0.340255|generation:0.028281
sequence:2|latency:0.115796|reception:0.50116|generation:0.385364
sequence:3|latency:0.164787|reception:0.560464|generation:0.395677
sequence:4|latency:0.173763|reception:0.636804|generation:0.463041
sequence:5|latency:0.317365|reception:0.791207|generation:0.473842
sequence:6|latency:0.124357|reception:1.055722|generation:0.931365
sequence:7|latency:0.084923|reception:1.161874|generation:1.076951
sequence:8|latency:0.127901|reception:1.414807|generation:1.286906
sequence:9|latency:0.163265|reception:1.516621|generation:1.353356
sequence:10|latency:0.204471|reception:1.610659|generation:1.406188
sequence:11|latency:0.199343|reception:1.719599|generation:1.520256
sequence:12|latency:0.159407|reception:1.781973|generation:1.622566
sequence:13|latency:0.29045|reception:1.932409|generation:1.641959
sequence:14|latency:0.096379|reception:2.181462|generation:2.085083
sequence:15|latency:0.169588|reception:2.27108|generation:2.101492
sequence:16|latency:0.138547|reception:2.336325|generation:2.197778
sequence:17|latency:0.1871|reception:2.467237|generation:2.280137
sequence:18|latency:0.275152|reception:2.591787|generation:2.316635
sequence:19|latency:0.357083|reception:2.731367|generation:2.374284
sequence:20|latency:0.199329|reception:2.834907|generation:2.635578
sequence:21|latency:0.238258|reception:2.913628|generation:2.67537
sequence:22|latency:0.265293|reception:3.05681|generation:2.791517
sequence:23|latency:0.382663|reception:3.190247|generation:2.807584
sequence:24|latency:0.392899|reception:3.252086|generation:2.859187
sequence:25|latency:0.261585|reception:3.332372|generation:3.070787
sequence:26|latency:0.338136|reception:3.43089|generation:3.092754
sequence:27|latency:0.444571|reception:3.559559|generation:3.114988
sequence:28|latency:0.450114|reception:3.704383|generation:3.254269
sequence:29|latency:0.431096|reception:3.820714|generation:3.389618
sequence:30|latency:0.362358|reception:3.966317|generation:3.603959
sequence:31|latency:0.411936|reception:4.026711|generation:3.614775
sequence:32|latency:0.111036|reception:4.086837|generation:3.975801
sequence:33|latency:0.070251|reception:4.23733|generation:4.167079
sequence:34|latency:0.201869|reception:4.391215|generation:4.189346
sequence:35|latency:0.204429|reception:4.455427|generation:4.250998
sequence:36|latency:0.108967|reception:4.654995|generation:4.546028
sequence:37|latency:0.229995|reception:4.796885|generation:4.56689
sequence:38|latency:0.299098|reception:4.889757|generation:4.590659
sequence:39|latency:0.247822|reception:5.010984|generation:4.763162
sequence:40|latency:0.278328|reception:5.152045|generation:4.873717
sequence:41|latency:0.294319|reception:5.26427|generation:4.969951
sequence:42|latency:0.291079|reception:5.328814|generation:5.037735
sequence:43|latency:0.361702|reception:5.434363|generation:5.072661
sequence:44|latency:0.359075|reception:5.587077|generation:5.228002
sequence:45|latency:0.427891|reception:5.72102|generation:5.293129
sequence:46|latency:0.466207|reception:5.81805|generation:5.351843
sequence:47|latency:0.573784|reception:5.975876|generation:5.402092
sequence:48|latency:0.687612|reception:6.091542|generation:5.40393
sequence:49|latency:0.684859|reception:6.224909|generation:5.54005
sequence:50|latency:0.585395|reception:6.29877|generation:5.713375
sequence:51|latency:0.418603|reception:6.420214|generation:6.001611
sequence:52|latency:0.484585|reception:6.491852|generation:6.007267
sequence:53|latency:0.541465|reception:6.618123|generation:6.076658
sequence:54|latency:0.608464|reception:6.694177|generation:6.085713
sequence:55|latency:0.656972|reception:6.803574|generation:6.146602
sequence:56|latency:0.757061|reception:6.94998|generation:6.192919
sequence:57|latency:0.874231|reception:7.100299|generation:6.226068
sequence:58|latency:0.917034|reception:7.248742|generation:6.331708
sequence:59|latency:1.042336|reception:7.385198|generation:6.342862
sequence:60|latency:1.1365|reception:7.479929|generation:6.343429
sequence:61|latency:1.151739|reception:7.569996|generation:6.418257
sequence:62|latency:1.229577|reception:7.671222|generation:6.441645
sequence:63|latency:0.924515|reception:7.750896|generation:6.826381
sequence:64|latency:0.967849|reception:7.840181|generation:6.872332
sequence:65|latency:0.982132|reception:7.906653|generation:6.924521
sequence:66|latency:1.034579|reception:8.016223|generation:6.981644
sequence:67|latency:1.147001|reception:8.165804|generation:7.018803
sequence:68|latency:1.162917|reception:8.271075|generation:7.108158
sequence:69|latency:1.129368|reception:8.340602|generation:7.211234
sequence:70|latency:1.190792|reception:8.414583|generation:7.223791
sequence:71|latency:1.224979|reception:8.476742|generation:7.251763
sequence:72|latency:1.338764|reception:8.618638|generation:7.279874
sequence:73|latency:1.483234|reception:8.856685|generation:7.373451
sequence:74|latency:1.836187|reception:9.286393|generation:7.450206
sequence:75|latency:1.936246|reception:9.388218|generation:7.451972
sequence:76|latency:2.076099|reception:9.53501|generation:7.458911
sequence:77|latency:2.092315|reception:9.881191|generation:7.788876
sequence:78|latency:2.229634|reception:10.071549|generation:7.841915
sequence:79|latency:2.296257|reception:10.147135|generation:7.850878
sequence:80|latency:2.296978|reception:10.269373|generation:7.972395
total run time:10.002216
