sequence:0|latency:0.109393|reception:0.109393|generation:0.0
sequence:1|latency:0.105464|reception:0.257864|generation:0.1524
sequence:2|latency:0.215845|reception:0.394325|generation:0.17848
sequence:3|latency:0.29996|reception:0.518468|generation:0.218508
sequence:4|latency:0.330331|reception:0.579939|generation:0.249608
sequence:5|latency:0.438385|reception:0.69694|generation:0.258555
sequence:6|latency:0.512409|reception:0.811632|generation:0.299223
sequence:7|latency:0.586154|reception:0.929457|generation:0.343303
sequence:8|latency:0.702155|reception:1.049551|generation:0.347396
sequence:9|latency:0.671446|reception:1.206056|generation:0.53461
sequence:10|latency:0.72505|reception:1.269243|generation:0.544193
sequence:11|latency:0.791782|reception:1.425035|generation:0.633253
sequence:12|latency:0.153184|reception:1.550019|generation:1.396835
sequence:13|latency:0.339223|reception:1.84741|generation:1.508187
sequence:14|latency:0.262769|reception:1.948663|generation:1.685894
sequence:15|latency:0.17915|reception:2.043994|generation:1.864844
sequence:16|latency:0.076564|reception:2.155396|generation:2.078832
sequence:17|latency:0.064193|reception:2.425865|generation:2.361672
sequence:18|latency:0.142858|reception:2.536306|generation:2.393448
sequence:19|latency:0.191177|reception:2.630106|generation:2.438929
sequence:20|latency:0.090469|reception:2.933129|generation:2.84266
sequence:21|latency:0.087697|reception:2.996954|generation:2.909257
sequence:22|latency:0.086911|reception:3.076798|generation:2.989887
sequence:23|latency:0.074432|reception:3.417882|generation:3.34345
sequence:24|latency:0.072449|reception:3.729887|generation:3.657438
sequence:25|latency:0.094202|reception:3.944685|generation:3.850483
sequence:26|latency:0.144189|reception:4.27644|generation:4.132251
sequence:27|latency:0.222058|reception:4.379696|generation:4.157638
sequence:28|latency:0.278776|reception:4.493821|generation:4.215045
sequence:29|latency:0.235212|reception:4.652595|generation:4.417383
sequence:30|latency:0.08658|reception:4.732538|generation:4.645958
sequence:31|latency:0.131129|reception:4.859312|generation:4.728183
sequence:32|latency:0.224675|reception:5.012765|generation:4.78809
sequence:33|latency:0.076455|reception:5.234309|generation:5.157854
sequence:34|latency:0.11587|reception:5.427431|generation:5.311561
sequence:35|latency:0.158222|reception:5.576354|generation:5.418132
sequence:36|latency:0.111226|reception:6.010051|generation:5.898825
sequence:37|latency:0.098644|reception:6.281798|generation:6.183154
sequence:38|latency:0.154365|reception:6.540966|generation:6.386601
sequence:39|latency:0.096364|reception:7.058154|generation:6.96179
sequence:40|latency:0.121007|reception:7.196065|generation:7.075058
sequence:41|latency:0.109784|reception:7.423377|generation:7.313593
sequence:42|latency:0.165165|reception:7.558917|generation:7.393752
sequence:43|latency:0.170242|reception:7.673954|generation:7.503712
sequence:44|latency:0.207891|reception:7.759086|generation:7.551195
sequence:45|latency:0.34496|reception:7.902623|generation:7.557663
sequence:46|latency:0.475476|reception:8.058498|generation:7.583022
sequence:47|latency:0.072661|reception:8.247524|generation:8.174863
sequence:48|latency:0.06252|reception:8.558665|generation:8.496145
sequence:49|latency:0.146751|reception:8.705925|generation:8.559174
sequence:50|latency:0.207039|reception:8.805551|generation:8.598512
sequence:51|latency:0.079892|reception:8.920343|generation:8.840451
sequence:52|latency:0.134583|reception:9.147473|generation:9.01289
sequence:53|latency:0.141373|reception:9.304291|generation:9.162918
sequence:54|latency:0.072919|reception:9.408856|generation:9.335937
sequence:55|latency:0.080106|reception:9.529134|generation:9.449028
sequence:56|latency:0.107161|reception:9.610834|generation:9.503673
sequence:57|latency:0.109562|reception:9.716385|generation:9.606823
sequence:58|latency:0.086784|reception:9.861002|generation:9.774218
total run time:9.751609
