sequence:0|latency:0.1299|reception:0.1299|generation:0.0
sequence:1|latency:0.158184|reception:0.273151|generation:0.114967
sequence:2|latency:0.193091|reception:0.360028|generation:0.166937
sequence:3|latency:0.226921|reception:0.47266|generation:0.245739
sequence:4|latency:0.077996|reception:0.567174|generation:0.489178
sequence:5|latency:0.113005|reception:0.720935|generation:0.60793
sequence:6|latency:0.135901|reception:0.864313|generation:0.728412
sequence:7|latency:0.091969|reception:0.957702|generation:0.865733
sequence:8|latency:0.182865|reception:1.050467|generation:0.867602
sequence:9|latency:0.068711|reception:1.151457|generation:1.082746
sequence:10|latency:0.060348|reception:2.77112|generation:2.710772
sequence:11|latency:0.11015|reception:2.857183|generation:2.747033
sequence:12|latency:0.134085|reception:2.930845|generation:2.79676
sequence:13|latency:0.116109|reception:3.266804|generation:3.150695
sequence:14|latency:0.207287|reception:3.373175|generation:3.165888
sequence:15|latency:0.257446|reception:3.518607|generation:3.261161
sequence:16|latency:0.272259|reception:3.632156|generation:3.359897
sequence:17|latency:0.131308|reception:3.885385|generation:3.754077
sequence:18|latency:0.139851|reception:4.023395|generation:3.883544
sequence:19|latency:0.19532|reception:4.095659|generation:3.900339
sequence:20|latency:0.225657|reception:4.19973|generation:3.974073
sequence:21|latency:0.295253|reception:4.326388|generation:4.031135
sequence:22|latency:0.168226|reception:4.405112|generation:4.236886
sequence:23|latency:0.111208|reception:4.573735|generation:4.462527
sequence:24|latency:0.118803|reception:4.656696|generation:4.537893
sequence:25|latency:0.19239|reception:4.746872|generation:4.554482
sequence:26|latency:0.1864|reception:4.827666|generation:4.641266
sequence:27|latency:0.236254|reception:4.9478|generation:4.711546
sequence:28|latency:0.244167|reception:5.054295|generation:4.810128
sequence:29|latency:0.35684|reception:5.178974|generation:4.822134
sequence:30|latency:0.086173|reception:5.391871|generation:5.305698
sequence:31|latency:0.187327|reception:5.538305|generation:5.350978
sequence:32|latency:0.18233|reception:5.673118|generation:5.490788
sequence:33|latency:0.291837|reception:5.822561|generation:5.530724
sequence:34|latency:0.192764|reception:5.882532|generation:5.689768
sequence:35|latency:0.217679|reception:5.975643|generation:5.757964
sequence:36|latency:0.065749|reception:6.037272|generation:5.971523
sequence:37|latency:0.178945|reception:6.173675|generation:5.99473
sequence:38|latency:0.097554|reception:6.471529|generation:6.373975
sequence:39|latency:0.09173|reception:6.686175|generation:6.594445
sequence:40|latency:0.118446|reception:7.034185|generation:6.915739
sequence:41|latency:0.077158|reception:7.372218|generation:7.29506
sequence:42|latency:0.156843|reception:7.893115|generation:7.736272
sequence:43|latency:0.25353|reception:8.009684|generation:7.756154
sequence:44|latency:0.101355|reception:8.108105|generation:8.00675
sequence:45|latency:0.251981|reception:8.261409|generation:8.009428
sequence:46|latency:0.265713|reception:8.407585|generation:8.141872
sequence:47|latency:0.298963|reception:8.483281|generation:8.184318
sequence:48|latency:0.157181|reception:8.767128|generation:8.609947
sequence:49|latency:0.276536|reception:8.901849|generation:8.625313
sequence:50|latency:0.278018|reception:8.967814|generation:8.689796
sequence:51|latency:0.311644|reception:9.05607|generation:8.744426
sequence:52|latency:0.33142|reception:9.155095|generation:8.823675
sequence:53|latency:0.478781|reception:9.307496|generation:8.828715
sequence:54|latency:0.573863|reception:9.406135|generation:8.832272
sequence:55|latency:0.408032|reception:9.466023|generation:9.057991
sequence:56|latency:0.614978|reception:9.695096|generation:9.080118
sequence:57|latency:0.590826|reception:9.763823|generation:9.172997
sequence:58|latency:0.72256|reception:9.910577|generation:9.188017
sequence:59|latency:0.646664|reception:9.975652|generation:9.328988
total run time:9.845752
