sequence:0|latency:0.32743|reception:0.32743|generation:0.0
sequence:1|latency:0.197701|reception:0.394565|generation:0.196864
sequence:2|latency:0.137731|reception:0.465837|generation:0.328106
sequence:3|latency:0.134878|reception:0.733169|generation:0.598291
sequence:4|latency:0.203958|reception:0.873543|generation:0.669585
sequence:5|latency:0.123328|reception:1.309474|generation:1.186146
sequence:6|latency:0.198781|reception:1.436226|generation:1.237445
sequence:7|latency:0.109699|reception:1.700904|generation:1.591205
sequence:8|latency:0.109965|reception:2.275008|generation:2.165043
sequence:9|latency:0.108634|reception:2.508147|generation:2.399513
sequence:10|latency:0.060142|reception:2.942877|generation:2.882735
sequence:11|latency:0.127977|reception:3.052545|generation:2.924568
sequence:12|latency:0.090528|reception:3.734495|generation:3.643967
sequence:13|latency:0.108927|reception:4.047124|generation:3.938197
sequence:14|latency:0.077959|reception:4.336267|generation:4.258308
sequence:15|latency:0.088382|reception:5.084705|generation:4.996323
sequence:16|latency:0.118156|reception:5.249044|generation:5.130888
sequence:17|latency:0.06867|reception:5.450274|generation:5.381604
sequence:18|latency:0.128743|reception:5.706456|generation:5.577713
sequence:19|latency:0.105238|reception:6.260703|generation:6.155465
total run time:5.933273
