sequence:0|latency:0.100913|reception:0.100913|generation:0.0
sequence:1|latency:0.147052|reception:0.238421|generation:0.091369
sequence:2|latency:0.080921|reception:0.482193|generation:0.401272
sequence:3|latency:0.129923|reception:0.578996|generation:0.449073
sequence:4|latency:0.130588|reception:0.681979|generation:0.551391
sequence:5|latency:0.221455|reception:0.799527|generation:0.578072
sequence:6|latency:0.138854|reception:0.873781|generation:0.734927
sequence:7|latency:0.252781|reception:1.026239|generation:0.773458
sequence:8|latency:0.225691|reception:1.107173|generation:0.881482
sequence:9|latency:0.361561|reception:1.245901|generation:0.88434
sequence:10|latency:0.230204|reception:1.476538|generation:1.246334
sequence:11|latency:0.285685|reception:1.552339|generation:1.266654
sequence:12|latency:0.386217|reception:1.696946|generation:1.310729
sequence:13|latency:0.414936|reception:1.761583|generation:1.346647
sequence:14|latency:0.340134|reception:1.888154|generation:1.54802
sequence:15|latency:0.323875|reception:2.012486|generation:1.688611
sequence:16|latency:0.101009|reception:2.28289|generation:2.181881
sequence:17|latency:0.075388|reception:2.431235|generation:2.355847
sequence:18|latency:0.11455|reception:2.570938|generation:2.456388
sequence:19|latency:0.198614|reception:2.655701|generation:2.457087
sequence:20|latency:0.065101|reception:2.726526|generation:2.661425
sequence:21|latency:0.075931|reception:2.910541|generation:2.83461
sequence:22|latency:0.09313|reception:3.141947|generation:3.048817
sequence:23|latency:0.103129|reception:3.400723|generation:3.297594
sequence:24|latency:0.153576|reception:3.519761|generation:3.366185
sequence:25|latency:0.142903|reception:3.623321|generation:3.480418
sequence:26|latency:0.268072|reception:3.781419|generation:3.513347
sequence:27|latency:0.406323|reception:3.922532|generation:3.516209
sequence:28|latency:0.518936|reception:4.075874|generation:3.556938
sequence:29|latency:0.589181|reception:4.17304|generation:3.583859
sequence:30|latency:0.449558|reception:4.273935|generation:3.824377
sequence:31|latency:0.556716|reception:4.39145|generation:3.834734
sequence:32|latency:0.544264|reception:4.526296|generation:3.982032
sequence:33|latency:0.440039|reception:4.594133|generation:4.154094
sequence:34|latency:0.464744|reception:4.681334|generation:4.21659
sequence:35|latency:0.634683|reception:4.875352|generation:4.240669
sequence:36|latency:0.407459|reception:4.93966|generation:4.532201
sequence:37|latency:0.536298|reception:5.07155|generation:4.535252
sequence:38|latency:0.540488|reception:5.146581|generation:4.606093
sequence:39|latency:0.587553|reception:5.266841|generation:4.679288
sequence:40|latency:0.674817|reception:5.360026|generation:4.685209
sequence:41|latency:0.693419|reception:5.43209|generation:4.738671
sequence:42|latency:0.742524|reception:5.589908|generation:4.847384
sequence:43|latency:0.759583|reception:5.659258|generation:4.899675
sequence:44|latency:0.716953|reception:5.725804|generation:5.008851
sequence:45|latency:0.798531|reception:5.856132|generation:5.057601
sequence:46|latency:0.558195|reception:6.000837|generation:5.442642
sequence:47|latency:0.553348|reception:6.095886|generation:5.542538
sequence:48|latency:0.088844|reception:6.338116|generation:6.249272
sequence:49|latency:0.069554|reception:6.401116|generation:6.331562
sequence:50|latency:0.146014|reception:6.578821|generation:6.432807
sequence:51|latency:0.113297|reception:6.746226|generation:6.632929
sequence:52|latency:0.200392|reception:6.854972|generation:6.65458
sequence:53|latency:0.276712|reception:6.979068|generation:6.702356
sequence:54|latency:0.260197|reception:7.085915|generation:6.825718
sequence:55|latency:0.253108|reception:7.184333|generation:6.931225
sequence:56|latency:0.105251|reception:7.293506|generation:7.188255
sequence:57|latency:0.158719|reception:7.566068|generation:7.407349
sequence:58|latency:0.183945|reception:7.702882|generation:7.518937
sequence:59|latency:0.328869|reception:7.860189|generation:7.53132
sequence:60|latency:0.071497|reception:8.048449|generation:7.976952
sequence:61|latency:0.112591|reception:8.152498|generation:8.039907
sequence:62|latency:0.153609|reception:8.217115|generation:8.063506
sequence:63|latency:0.113999|reception:8.308211|generation:8.194212
sequence:64|latency:0.226665|reception:8.429261|generation:8.202596
sequence:65|latency:0.26651|reception:8.570031|generation:8.303521
sequence:66|latency:0.217733|reception:8.721991|generation:8.504258
sequence:67|latency:0.152071|reception:9.029535|generation:8.877464
sequence:68|latency:0.132974|reception:9.117558|generation:8.984584
sequence:69|latency:0.226808|reception:9.233903|generation:9.007095
sequence:70|latency:0.288976|reception:9.352742|generation:9.063766
sequence:71|latency:0.266157|reception:9.449957|generation:9.1838
sequence:72|latency:0.309446|reception:9.580779|generation:9.271333
sequence:73|latency:0.166394|reception:9.718976|generation:9.552582
sequence:74|latency:0.068565|reception:9.917576|generation:9.849011
total run time:9.816663
