sequence:0|latency:0.113991|reception:0.113991|generation:0.0
sequence:1|latency:0.151756|reception:0.266299|generation:0.114543
sequence:2|latency:0.060533|reception:0.568298|generation:0.507765
sequence:3|latency:0.12728|reception:0.807952|generation:0.680672
sequence:4|latency:0.065961|reception:0.929856|generation:0.863895
sequence:5|latency:0.125222|reception:1.376423|generation:1.251201
sequence:6|latency:0.072822|reception:1.658998|generation:1.586176
sequence:7|latency:0.154279|reception:1.834081|generation:1.679802
sequence:8|latency:0.174772|reception:1.897023|generation:1.722251
sequence:9|latency:0.14338|reception:2.214795|generation:2.071415
sequence:10|latency:0.119531|reception:2.412372|generation:2.292841
sequence:11|latency:0.084495|reception:2.5295|generation:2.445005
sequence:12|latency:0.148319|reception:2.638756|generation:2.490437
sequence:13|latency:0.098089|reception:3.214182|generation:3.116093
sequence:14|latency:0.177347|reception:3.300794|generation:3.123447
sequence:15|latency:0.128994|reception:3.521102|generation:3.392108
sequence:16|latency:0.241536|reception:3.662224|generation:3.420688
sequence:17|latency:0.06081|reception:4.144001|generation:4.083191
sequence:18|latency:0.066223|reception:4.389398|generation:4.323175
sequence:19|latency:0.091698|reception:4.764449|generation:4.672751
sequence:20|latency:0.066699|reception:5.25691|generation:5.190211
sequence:21|latency:0.106865|reception:5.651311|generation:5.544446
sequence:22|latency:0.116884|reception:6.695424|generation:6.57854
sequence:23|latency:0.109568|reception:7.034077|generation:6.924509
sequence:24|latency:0.119992|reception:7.130467|generation:7.010475
sequence:25|latency:0.158698|reception:7.660054|generation:7.501356
sequence:26|latency:0.164658|reception:7.723126|generation:7.558468
sequence:27|latency:0.117636|reception:8.561004|generation:8.443368
sequence:28|latency:0.065154|reception:8.747221|generation:8.682067
sequence:29|latency:0.155861|reception:9.400187|generation:9.244326
sequence:30|latency:0.094586|reception:9.866752|generation:9.772166
total run time:9.752761
