sequence:0|latency:0.156206|reception:0.156206|generation:0.0
sequence:1|latency:0.135797|reception:0.217078|generation:0.081281
sequence:2|latency:0.109962|reception:0.313031|generation:0.203069
sequence:3|latency:0.136549|reception:0.514914|generation:0.378365
sequence:4|latency:0.214604|reception:0.632056|generation:0.417452
sequence:5|latency:0.315863|reception:0.74382|generation:0.427957
sequence:6|latency:0.312912|reception:0.809518|generation:0.496606
sequence:7|latency:0.354894|reception:0.883682|generation:0.528788
sequence:8|latency:0.419331|reception:1.000653|generation:0.581322
sequence:9|latency:0.441924|reception:1.091942|generation:0.650018
sequence:10|latency:0.458363|reception:1.214897|generation:0.756534
sequence:11|latency:0.444528|reception:1.330124|generation:0.885596
sequence:12|latency:0.479796|reception:1.408529|generation:0.928733
sequence:13|latency:0.591465|reception:1.529518|generation:0.938053
sequence:14|latency:0.610637|reception:1.595662|generation:0.985025
sequence:15|latency:0.730809|reception:1.719492|generation:0.988683
sequence:16|latency:0.393581|reception:1.791657|generation:1.398076
sequence:17|latency:0.39321|reception:1.883503|generation:1.490293
sequence:18|latency:0.392258|reception:1.955338|generation:1.56308
sequence:19|latency:0.366418|reception:2.015514|generation:1.649096
sequence:20|latency:0.390393|reception:2.098563|generation:1.70817
sequence:21|latency:0.287875|reception:2.232765|generation:1.94489
sequence:22|latency:0.431846|reception:2.387246|generation:1.9554
sequence:23|latency:0.136037|reception:2.496676|generation:2.360639
sequence:24|latency:0.192236|reception:2.712357|generation:2.520121
sequence:25|latency:0.311091|reception:2.862936|generation:2.551845
sequence:26|latency:0.396271|reception:2.962951|generation:2.56668
sequence:27|latency:0.376816|reception:3.113087|generation:2.736271
sequence:28|latency:0.36131|reception:3.211194|generation:2.849884
sequence:29|latency:0.443896|reception:3.358374|generation:2.914478
sequence:30|latency:0.491187|reception:3.510284|generation:3.019097
sequence:31|latency:0.5034|reception:3.579737|generation:3.076337
sequence:32|latency:0.389334|reception:3.731973|generation:3.342639
sequence:33|latency:0.452507|reception:3.821372|generation:3.368865
sequence:34|latency:0.515283|reception:3.900336|generation:3.385053
sequence:35|latency:0.650425|reception:4.05576|generation:3.405335
sequence:36|latency:0.726766|reception:4.171475|generation:3.444709
sequence:37|latency:0.726351|reception:4.269086|generation:3.542735
sequence:38|latency:0.754758|reception:4.35668|generation:3.601922
sequence:39|latency:0.735879|reception:4.456523|generation:3.720644
sequence:40|latency:0.368909|reception:4.515536|generation:4.146627
sequence:41|latency:0.077403|reception:4.598611|generation:4.521208
sequence:42|latency:0.153742|reception:4.712132|generation:4.55839
sequence:43|latency:0.179965|reception:4.775798|generation:4.595833
sequence:44|latency:0.242591|reception:4.841138|generation:4.598547
sequence:45|latency:0.278961|reception:4.983124|generation:4.704163
sequence:46|latency:0.320418|reception:5.067123|generation:4.746705
sequence:47|latency:0.120297|reception:5.383061|generation:5.262764
sequence:48|latency:0.166496|reception:5.441392|generation:5.274896
sequence:49|latency:0.063691|reception:5.502023|generation:5.438332
sequence:50|latency:0.136773|reception:5.65718|generation:5.520407
sequence:51|latency:0.147688|reception:5.747209|generation:5.599521
sequence:52|latency:0.197059|reception:5.904715|generation:5.707656
sequence:53|latency:0.158949|reception:5.969963|generation:5.811014
sequence:54|latency:0.215501|reception:6.096713|generation:5.881212
sequence:55|latency:0.240806|reception:6.166606|generation:5.9258
sequence:56|latency:0.178861|reception:6.297778|generation:6.118917
sequence:57|latency:0.268944|reception:6.485483|generation:6.216539
sequence:58|latency:0.395027|reception:6.616925|generation:6.221898
sequence:59|latency:0.433273|reception:6.715725|generation:6.282452
sequence:60|latency:0.203219|reception:6.849396|generation:6.646177
sequence:61|latency:0.192993|reception:6.956649|generation:6.763656
sequence:62|latency:0.088413|reception:7.026016|generation:6.937603
sequence:63|latency:0.113499|reception:7.270214|generation:7.156715
sequence:64|latency:0.11079|reception:7.467682|generation:7.356892
sequence:65|latency:0.134753|reception:7.749319|generation:7.614566
sequence:66|latency:0.093109|reception:8.176663|generation:8.083554
sequence:67|latency:0.21779|reception:8.310222|generation:8.092432
sequence:68|latency:0.247943|reception:8.407746|generation:8.159803
sequence:69|latency:0.327389|reception:8.541709|generation:8.21432
sequence:70|latency:0.293434|reception:8.650948|generation:8.357514
sequence:71|latency:0.333924|reception:8.751918|generation:8.417994
sequence:72|latency:0.401975|reception:8.865081|generation:8.463106
sequence:73|latency:0.185727|reception:8.999045|generation:8.813318
sequence:74|latency:0.144714|reception:9.086524|generation:8.94181
sequence:75|latency:0.206474|reception:9.197408|generation:8.990934
sequence:76|latency:0.197346|reception:9.277368|generation:9.080022
sequence:77|latency:0.141411|reception:9.554641|generation:9.41323
sequence:78|latency:0.187266|reception:9.646629|generation:9.459363
sequence:79|latency:0.15796|reception:9.732536|generation:9.574576
sequence:80|latency:0.149117|reception:9.858535|generation:9.709418
sequence:81|latency:0.074977|reception:9.979647|generation:9.90467
sequence:82|latency:0.185204|reception:10.099041|generation:9.913837
sequence:83|latency:0.22398|reception:10.172085|generation:9.948105
sequence:84|latency:0.238811|reception:10.241227|generation:10.002416
sequence:85|latency:0.238742|reception:10.327997|generation:10.089255
sequence:86|latency:0.278879|reception:10.464868|generation:10.185989
sequence:87|latency:0.396634|reception:10.601418|generation:10.204784
sequence:88|latency:0.540234|reception:10.750492|generation:10.210258
sequence:89|latency:0.586512|reception:10.905577|generation:10.319065
sequence:90|latency:0.634929|reception:11.046598|generation:10.411669
sequence:91|latency:0.214702|reception:11.183382|generation:10.96868
sequence:92|latency:0.343045|reception:11.338093|generation:10.995048
sequence:93|latency:0.402552|reception:11.437748|generation:11.035196
sequence:94|latency:0.298266|reception:11.544476|generation:11.24621
sequence:95|latency:0.146461|reception:11.95311|generation:11.806649
sequence:96|latency:0.229389|reception:12.055966|generation:11.826577
sequence:97|latency:0.108333|reception:12.130992|generation:12.022659
sequence:98|latency:0.217711|reception:12.247721|generation:12.03001
sequence:99|latency:0.233198|reception:12.366944|generation:12.133746
sequence:100|latency:0.327584|reception:12.480963|generation:12.153379
total run time:12.324757
