sequence:0|latency:0.311645|reception:0.311645|generation:0.0
sequence:1|latency:0.067703|reception:1.922396|generation:1.854693
sequence:2|latency:0.140046|reception:2.215482|generation:2.075436
sequence:3|latency:0.130962|reception:2.764323|generation:2.633361
sequence:4|latency:0.066604|reception:3.145861|generation:3.079257
sequence:5|latency:0.130481|reception:3.576417|generation:3.445936
sequence:6|latency:0.105414|reception:5.705979|generation:5.600565
sequence:7|latency:0.15694|reception:6.430168|generation:6.273228
sequence:8|latency:0.298823|reception:8.215662|generation:7.916839
sequence:9|latency:0.174752|reception:9.400429|generation:9.225677
sequence:10|latency:0.086154|reception:9.520947|generation:9.434793
sequence:11|latency:0.141192|reception:10.111745|generation:9.970553
sequence:12|latency:0.103634|reception:11.342709|generation:11.239075
sequence:13|latency:0.153739|reception:12.170452|generation:12.016713
sequence:14|latency:0.116793|reception:12.357008|generation:12.240215
sequence:15|latency:0.081177|reception:13.879078|generation:13.797901
sequence:16|latency:0.080589|reception:14.488886|generation:14.408297
sequence:17|latency:0.136984|reception:15.330956|generation:15.193972
sequence:18|latency:0.081944|reception:16.966221|generation:16.884277
sequence:19|latency:0.093747|reception:18.527849|generation:18.434102
sequence:20|latency:0.124618|reception:19.012953|generation:18.888335
sequence:21|latency:0.083002|reception:20.266539|generation:20.183537
sequence:22|latency:0.065734|reception:20.638829|generation:20.573095
sequence:23|latency:0.08786|reception:20.760342|generation:20.672482
sequence:24|latency:0.119093|reception:21.026355|generation:20.907262
sequence:25|latency:0.117768|reception:22.535951|generation:22.418183
sequence:26|latency:0.118586|reception:22.770934|generation:22.652348
sequence:27|latency:0.133531|reception:26.25846|generation:26.124929
sequence:28|latency:0.093125|reception:28.31876|generation:28.225635
sequence:29|latency:0.113694|reception:29.906176|generation:29.792482
sequence:30|latency:0.113839|reception:30.185693|generation:30.071854
sequence:31|latency:0.109465|reception:32.689201|generation:32.579736
sequence:32|latency:0.095754|reception:33.682718|generation:33.586964
sequence:33|latency:0.093804|reception:34.263808|generation:34.170004
sequence:34|latency:0.152468|reception:34.747419|generation:34.594951
sequence:35|latency:0.106258|reception:39.908868|generation:39.80261
sequence:36|latency:0.123599|reception:41.307697|generation:41.184098
sequence:37|latency:0.153019|reception:41.598768|generation:41.445749
sequence:38|latency:0.128135|reception:42.235871|generation:42.107736
sequence:39|latency:0.125076|reception:43.043639|generation:42.918563
sequence:40|latency:0.125323|reception:46.264506|generation:46.139183
sequence:41|latency:0.104932|reception:47.361598|generation:47.256666
sequence:42|latency:0.110149|reception:50.882732|generation:50.772583
sequence:43|latency:0.108709|reception:52.017128|generation:51.908419
sequence:44|latency:0.071286|reception:52.219771|generation:52.148485
sequence:45|latency:0.110637|reception:52.446184|generation:52.335547
sequence:46|latency:0.073308|reception:53.040253|generation:52.966945
sequence:47|latency:0.155211|reception:54.231793|generation:54.076582
sequence:48|latency:0.107716|reception:55.438794|generation:55.331078
sequence:49|latency:0.07216|reception:55.736939|generation:55.664779
sequence:50|latency:0.067293|reception:56.344526|generation:56.277233
sequence:51|latency:0.071094|reception:56.431538|generation:56.360444
sequence:52|latency:0.181492|reception:56.551921|generation:56.370429
sequence:53|latency:0.089496|reception:57.977089|generation:57.887593
sequence:54|latency:0.097202|reception:58.176489|generation:58.079287
sequence:55|latency:0.087188|reception:58.413829|generation:58.326641
sequence:56|latency:0.132651|reception:59.280106|generation:59.147455
sequence:57|latency:0.10271|reception:59.733412|generation:59.630702
sequence:58|latency:0.155465|reception:59.994594|generation:59.839129
sequence:59|latency:0.099259|reception:60.513908|generation:60.414649
sequence:60|latency:0.094511|reception:60.700952|generation:60.606441
sequence:61|latency:0.140963|reception:61.312717|generation:61.171754
sequence:62|latency:0.151215|reception:61.763262|generation:61.612047
sequence:63|latency:0.111488|reception:63.380578|generation:63.26909
sequence:64|latency:0.126675|reception:65.464472|generation:65.337797
sequence:65|latency:0.114898|reception:66.664479|generation:66.549581
sequence:66|latency:0.089604|reception:68.267858|generation:68.178254
sequence:67|latency:0.070243|reception:69.222588|generation:69.152345
sequence:68|latency:0.133856|reception:71.98182|generation:71.847964
sequence:69|latency:0.148914|reception:72.336547|generation:72.187633
sequence:70|latency:0.100754|reception:72.484379|generation:72.383625
sequence:71|latency:0.140857|reception:74.755331|generation:74.614474
sequence:72|latency:0.09877|reception:77.955179|generation:77.856409
sequence:73|latency:0.101603|reception:78.118543|generation:78.01694
sequence:74|latency:0.074925|reception:78.939074|generation:78.864149
sequence:75|latency:0.102657|reception:79.158383|generation:79.055726
sequence:76|latency:0.153244|reception:79.59297|generation:79.439726
sequence:77|latency:0.245732|reception:79.725866|generation:79.480134
sequence:78|latency:0.068033|reception:81.410199|generation:81.342166
sequence:79|latency:0.16447|reception:81.540873|generation:81.376403
sequence:80|latency:0.065462|reception:81.832379|generation:81.766917
sequence:81|latency:0.096075|reception:82.223477|generation:82.127402
sequence:82|latency:0.103007|reception:82.350823|generation:82.247816
sequence:83|latency:0.089514|reception:82.742574|generation:82.65306
sequence:84|latency:0.096419|reception:82.836533|generation:82.740114
sequence:85|latency:0.066213|reception:83.145939|generation:83.079726
sequence:86|latency:0.128142|reception:84.01152|generation:83.883378
sequence:87|latency:0.104144|reception:85.018335|generation:84.914191
sequence:88|latency:0.139186|reception:86.1656|generation:86.026414
sequence:89|latency:0.153597|reception:87.528636|generation:87.375039
sequence:90|latency:0.293433|reception:87.752749|generation:87.459316
