sequence:0|latency:0.295746|reception:0.295746|generation:0.0
sequence:1|latency:0.157141|reception:0.455966|generation:0.298825
sequence:2|latency:0.230337|reception:0.575044|generation:0.344707
sequence:3|latency:0.26648|reception:0.661202|generation:0.394722
sequence:4|latency:0.249432|reception:0.734342|generation:0.48491
sequence:5|latency:0.303193|reception:0.843157|generation:0.539964
sequence:6|latency:0.388796|reception:0.985433|generation:0.596637
sequence:7|latency:0.478718|reception:1.07751|generation:0.598792
sequence:8|latency:0.467633|reception:1.13583|generation:0.668197
sequence:9|latency:0.221232|reception:1.196199|generation:0.974967
sequence:10|latency:0.242032|reception:1.258871|generation:1.016839
sequence:11|latency:0.223387|reception:1.412274|generation:1.188887
sequence:12|latency:0.268495|reception:1.48742|generation:1.218925
sequence:13|latency:0.394345|reception:1.629335|generation:1.23499
sequence:14|latency:0.488618|reception:1.7306|generation:1.241982
sequence:15|latency:0.251536|reception:1.847675|generation:1.596139
sequence:16|latency:0.21107|reception:1.972659|generation:1.761589
sequence:17|latency:0.253814|reception:2.068785|generation:1.814971
sequence:18|latency:0.242121|reception:2.183083|generation:1.940962
sequence:19|latency:0.222759|reception:2.242348|generation:2.019589
sequence:20|latency:0.352569|reception:2.390494|generation:2.037925
sequence:21|latency:0.466691|reception:2.524919|generation:2.058228
sequence:22|latency:0.504706|reception:2.623689|generation:2.118983
sequence:23|latency:0.46664|reception:2.709118|generation:2.242478
sequence:24|latency:0.492461|reception:2.816482|generation:2.324021
sequence:25|latency:0.588905|reception:2.94144|generation:2.352535
sequence:26|latency:0.09292|reception:3.035899|generation:2.942979
sequence:27|latency:0.149761|reception:3.556164|generation:3.406403
sequence:28|latency:0.218318|reception:3.70744|generation:3.489122
sequence:29|latency:0.240711|reception:3.780867|generation:3.540156
sequence:30|latency:0.074413|reception:3.930774|generation:3.856361
sequence:31|latency:0.124026|reception:4.092016|generation:3.96799
sequence:32|latency:0.173097|reception:4.175984|generation:4.002887
sequence:33|latency:0.287057|reception:4.322237|generation:4.03518
sequence:34|latency:0.154029|reception:4.50483|generation:4.350801
sequence:35|latency:0.148504|reception:4.676498|generation:4.527994
sequence:36|latency:0.103138|reception:4.740718|generation:4.63758
sequence:37|latency:0.208742|reception:4.888178|generation:4.679436
sequence:38|latency:0.150625|reception:5.0164|generation:4.865775
sequence:39|latency:0.221131|reception:5.088124|generation:4.866993
sequence:40|latency:0.308264|reception:5.202908|generation:4.894644
sequence:41|latency:0.426101|reception:5.32842|generation:4.902319
sequence:42|latency:0.356772|reception:5.436304|generation:5.079532
sequence:43|latency:0.375892|reception:5.521808|generation:5.145916
sequence:44|latency:0.475077|reception:5.645732|generation:5.170655
sequence:45|latency:0.414177|reception:5.793625|generation:5.379448
sequence:46|latency:0.43497|reception:5.868905|generation:5.433935
sequence:47|latency:0.21585|reception:5.955446|generation:5.739596
sequence:48|latency:0.283341|reception:6.044657|generation:5.761316
sequence:49|latency:0.099414|reception:6.420369|generation:6.320955
sequence:50|latency:0.150686|reception:6.531508|generation:6.380822
sequence:51|latency:0.191594|reception:6.616248|generation:6.424654
sequence:52|latency:0.249449|reception:6.692709|generation:6.44326
sequence:53|latency:0.202663|reception:6.82702|generation:6.624357
sequence:54|latency:0.079685|reception:7.025481|generation:6.945796
sequence:55|latency:0.14077|reception:7.206728|generation:7.065958
sequence:56|latency:0.645881|reception:8.145421|generation:7.49954
sequence:57|latency:0.888643|reception:8.695936|generation:7.807293
sequence:58|latency:1.005018|reception:8.924668|generation:7.91965
sequence:59|latency:1.007479|reception:9.002559|generation:7.99508
sequence:60|latency:1.053315|reception:9.084355|generation:8.03104
sequence:61|latency:1.085851|reception:9.206921|generation:8.12107
sequence:62|latency:1.17089|reception:9.297499|generation:8.126609
sequence:63|latency:1.256607|reception:9.468285|generation:8.211678
sequence:64|latency:1.408712|reception:9.789203|generation:8.380491
sequence:65|latency:1.094079|reception:9.887647|generation:8.793568
sequence:66|latency:1.212484|reception:10.042275|generation:8.829791
sequence:67|latency:1.24842|reception:10.127325|generation:8.878905
sequence:68|latency:1.35396|reception:10.268476|generation:8.914516
sequence:69|latency:1.410324|reception:10.328105|generation:8.917781
sequence:70|latency:1.512416|reception:10.481234|generation:8.968818
sequence:71|latency:1.744077|reception:10.786782|generation:9.042705
sequence:72|latency:1.822676|reception:10.876524|generation:9.053848
sequence:73|latency:1.904886|reception:10.970888|generation:9.066002
sequence:74|latency:1.783881|reception:11.0945|generation:9.310619
sequence:75|latency:1.877006|reception:11.226051|generation:9.349045
sequence:76|latency:1.708336|reception:11.350933|generation:9.642597
sequence:77|latency:1.808539|reception:11.480902|generation:9.672363
sequence:78|latency:1.941008|reception:11.637931|generation:9.696923
sequence:79|latency:2.094536|reception:11.799671|generation:9.705135
sequence:80|latency:2.152274|reception:11.885459|generation:9.733185
sequence:81|latency:2.183855|reception:12.019119|generation:9.835264
sequence:82|latency:2.277789|reception:12.168698|generation:9.890909
sequence:83|latency:2.305748|reception:12.248539|generation:9.942791
sequence:84|latency:2.333503|reception:12.325125|generation:9.991622
sequence:85|latency:2.400864|reception:12.434041|generation:10.033177
total run time:12.138295
