sequence:0|latency:0.076643|reception:0.076643|generation:0.0
sequence:1|latency:0.158237|reception:0.205637|generation:0.0474
sequence:2|latency:0.273659|reception:0.343567|generation:0.069908
sequence:3|latency:0.120179|reception:0.452522|generation:0.332343
sequence:4|latency:0.121451|reception:0.599849|generation:0.478398
sequence:5|latency:0.186839|reception:0.669698|generation:0.482859
sequence:6|latency:0.245956|reception:0.728997|generation:0.483041
sequence:7|latency:0.375269|reception:0.873377|generation:0.498108
sequence:8|latency:0.411866|reception:0.998219|generation:0.586353
sequence:9|latency:0.513449|reception:1.109614|generation:0.596165
sequence:10|latency:0.625203|reception:1.231017|generation:0.605814
sequence:11|latency:0.656381|reception:1.293166|generation:0.636785
sequence:12|latency:0.785101|reception:1.449841|generation:0.66474
sequence:13|latency:0.788993|reception:1.584562|generation:0.795569
sequence:14|latency:0.759005|reception:1.654291|generation:0.895286
sequence:15|latency:0.842521|reception:1.777083|generation:0.934562
sequence:16|latency:0.894105|reception:1.898332|generation:1.004227
sequence:17|latency:0.696995|reception:2.000535|generation:1.30354
sequence:18|latency:0.423363|reception:2.13265|generation:1.709287
sequence:19|latency:0.56498|reception:2.277001|generation:1.712021
sequence:20|latency:0.633491|reception:2.355466|generation:1.721975
sequence:21|latency:0.577867|reception:2.453792|generation:1.875925
sequence:22|latency:0.101541|reception:2.950993|generation:2.849452
sequence:23|latency:0.111313|reception:3.328637|generation:3.217324
sequence:24|latency:0.173572|reception:3.414855|generation:3.241283
sequence:25|latency:0.083231|reception:4.456679|generation:4.373448
sequence:26|latency:0.122276|reception:4.683939|generation:4.561663
sequence:27|latency:0.15236|reception:4.88336|generation:4.731
sequence:28|latency:0.215715|reception:4.991756|generation:4.776041
sequence:29|latency:0.161298|reception:5.129763|generation:4.968465
sequence:30|latency:0.139441|reception:5.616507|generation:5.477066
sequence:31|latency:0.082981|reception:5.718985|generation:5.636004
sequence:32|latency:0.085146|reception:6.029853|generation:5.944707
sequence:33|latency:0.096698|reception:6.819846|generation:6.723148
sequence:34|latency:0.177385|reception:6.932648|generation:6.755263
sequence:35|latency:0.230215|reception:7.026576|generation:6.796361
sequence:36|latency:0.082758|reception:7.784498|generation:7.70174
sequence:37|latency:0.20447|reception:7.938293|generation:7.733823
sequence:38|latency:0.233652|reception:8.026675|generation:7.793023
sequence:39|latency:0.226814|reception:8.098785|generation:7.871971
sequence:40|latency:0.281875|reception:8.197083|generation:7.915208
sequence:41|latency:0.291199|reception:8.277849|generation:7.98665
sequence:42|latency:0.296609|reception:8.405802|generation:8.109193
sequence:43|latency:0.331086|reception:8.517106|generation:8.18602
sequence:44|latency:0.159856|reception:8.612714|generation:8.452858
sequence:45|latency:0.113251|reception:8.880962|generation:8.767711
sequence:46|latency:0.061175|reception:8.960738|generation:8.899563
sequence:47|latency:0.064421|reception:9.537931|generation:9.47351
sequence:48|latency:0.106157|reception:9.713339|generation:9.607182
sequence:49|latency:0.137302|reception:9.804285|generation:9.666983
total run time:9.727642
