sequence:0|latency:0.132273|reception:0.132273|generation:0.0
sequence:1|latency:0.089053|reception:0.214114|generation:0.125061
sequence:2|latency:0.202255|reception:0.452374|generation:0.250119
sequence:3|latency:0.146571|reception:0.521666|generation:0.375095
sequence:4|latency:0.126981|reception:0.627108|generation:0.500127
sequence:5|latency:0.145944|reception:0.771066|generation:0.625122
sequence:6|latency:0.091251|reception:0.841353|generation:0.750102
sequence:7|latency:0.157019|reception:1.032119|generation:0.8751
sequence:8|latency:0.110595|reception:1.110656|generation:1.000061
sequence:9|latency:0.062213|reception:1.187333|generation:1.12512
sequence:10|latency:0.065047|reception:1.31517|generation:1.250123
sequence:11|latency:0.062236|reception:1.437329|generation:1.375093
sequence:12|latency:0.131446|reception:1.631492|generation:1.500046
sequence:13|latency:0.106226|reception:1.731281|generation:1.625055
sequence:14|latency:0.068918|reception:1.819039|generation:1.750121
sequence:15|latency:0.10185|reception:1.976977|generation:1.875127
sequence:16|latency:0.145807|reception:2.145932|generation:2.000125
sequence:17|latency:0.177277|reception:2.302399|generation:2.125122
sequence:18|latency:0.169974|reception:2.420095|generation:2.250121
sequence:19|latency:0.171044|reception:2.546183|generation:2.375139
sequence:20|latency:0.193235|reception:2.693303|generation:2.500068
sequence:21|latency:0.184519|reception:2.80964|generation:2.625121
sequence:22|latency:0.173458|reception:2.923582|generation:2.750124
sequence:23|latency:0.15394|reception:3.029046|generation:2.875106
sequence:24|latency:0.158526|reception:3.158596|generation:3.00007
sequence:25|latency:0.163927|reception:3.289057|generation:3.12513
sequence:26|latency:0.111793|reception:3.361857|generation:3.250064
sequence:27|latency:0.071759|reception:3.446831|generation:3.375072
sequence:28|latency:0.086516|reception:3.58664|generation:3.500124
sequence:29|latency:0.148311|reception:3.773357|generation:3.625046
sequence:30|latency:0.115871|reception:3.86597|generation:3.750099
sequence:31|latency:0.148094|reception:4.023149|generation:3.875055
sequence:32|latency:0.09988|reception:4.100005|generation:4.000125
sequence:33|latency:0.140537|reception:4.265606|generation:4.125069
sequence:34|latency:0.087382|reception:4.337506|generation:4.250124
sequence:35|latency:0.082402|reception:4.457449|generation:4.375047
sequence:36|latency:0.092034|reception:4.592158|generation:4.500124
sequence:37|latency:0.060425|reception:4.685578|generation:4.625153
sequence:38|latency:0.113209|reception:4.863333|generation:4.750124
sequence:39|latency:0.104508|reception:4.979586|generation:4.875078
sequence:40|latency:0.109783|reception:5.109863|generation:5.00008
sequence:41|latency:0.211919|reception:5.336992|generation:5.125073
sequence:42|latency:0.17539|reception:5.425496|generation:5.250106
sequence:43|latency:0.16583|reception:5.54096|generation:5.37513
