sequence:0|latency:0.313307|reception:0.313307|generation:0.0
sequence:1|latency:0.25046|reception:0.390621|generation:0.140161
sequence:2|latency:0.316314|reception:0.457429|generation:0.141115
sequence:3|latency:0.422296|reception:0.609508|generation:0.187212
sequence:4|latency:0.476368|reception:0.724224|generation:0.247856
sequence:5|latency:0.49088|reception:0.827619|generation:0.336739
sequence:6|latency:0.565135|reception:0.919853|generation:0.354718
sequence:7|latency:0.149739|reception:1.062536|generation:0.912797
sequence:8|latency:0.079911|reception:1.365078|generation:1.285167
sequence:9|latency:0.09603|reception:1.570005|generation:1.473975
sequence:10|latency:0.194515|reception:1.719404|generation:1.524889
sequence:11|latency:0.314836|reception:1.876618|generation:1.561782
sequence:12|latency:0.167547|reception:1.951816|generation:1.784269
sequence:13|latency:0.232749|reception:2.043203|generation:1.810454
sequence:14|latency:0.063648|reception:2.161767|generation:2.098119
sequence:15|latency:0.113303|reception:2.506699|generation:2.393396
sequence:16|latency:0.119026|reception:2.597458|generation:2.478432
sequence:17|latency:0.146632|reception:2.655764|generation:2.509132
sequence:18|latency:0.126985|reception:2.933677|generation:2.806692
sequence:19|latency:0.098044|reception:3.00872|generation:2.910676
sequence:20|latency:0.123864|reception:3.385386|generation:3.261522
sequence:21|latency:0.152312|reception:3.52647|generation:3.374158
sequence:22|latency:0.105599|reception:3.724056|generation:3.618457
sequence:23|latency:0.1601|reception:3.827775|generation:3.667675
sequence:24|latency:0.138963|reception:3.961579|generation:3.822616
sequence:25|latency:0.213418|reception:4.116589|generation:3.903171
sequence:26|latency:0.311418|reception:4.236911|generation:3.925493
sequence:27|latency:0.302253|reception:4.339503|generation:4.03725
sequence:28|latency:0.402097|reception:4.477437|generation:4.07534
sequence:29|latency:0.321711|reception:4.568196|generation:4.246485
sequence:30|latency:0.200581|reception:4.670899|generation:4.470318
sequence:31|latency:0.145144|reception:4.821945|generation:4.676801
sequence:32|latency:0.180388|reception:4.912913|generation:4.732525
sequence:33|latency:0.05922|reception:5.020119|generation:4.960899
sequence:34|latency:0.159792|reception:5.126514|generation:4.966722
sequence:35|latency:0.108684|reception:5.233288|generation:5.124604
sequence:36|latency:0.188204|reception:5.356031|generation:5.167827
sequence:37|latency:0.29621|reception:5.488683|generation:5.192473
sequence:38|latency:0.24871|reception:5.590591|generation:5.341881
sequence:39|latency:0.320325|reception:5.691796|generation:5.371471
