sequence:0|latency:0.146416|reception:0.146416|generation:0.0
sequence:1|latency:0.141033|reception:0.256485|generation:0.115452
sequence:2|latency:0.123737|reception:0.670836|generation:0.547099
sequence:3|latency:0.087929|reception:0.994105|generation:0.906176
sequence:4|latency:0.174637|reception:1.134115|generation:0.959478
sequence:5|latency:0.154081|reception:1.202186|generation:1.048105
sequence:6|latency:0.388911|reception:1.49017|generation:1.101259
sequence:7|latency:0.078072|reception:1.580511|generation:1.502439
sequence:8|latency:0.221256|reception:1.736728|generation:1.515472
sequence:9|latency:0.085753|reception:1.858208|generation:1.772455
sequence:10|latency:0.122569|reception:2.777638|generation:2.655069
sequence:11|latency:0.113004|reception:3.153763|generation:3.040759
sequence:12|latency:0.147785|reception:3.440587|generation:3.292802
sequence:13|latency:0.202716|reception:3.543614|generation:3.340898
sequence:14|latency:0.264415|reception:3.680446|generation:3.416031
sequence:15|latency:0.225622|reception:3.781284|generation:3.555662
sequence:16|latency:0.320826|reception:3.883839|generation:3.563013
sequence:17|latency:0.14453|reception:3.944722|generation:3.800192
sequence:18|latency:0.222095|reception:4.099074|generation:3.876979
sequence:19|latency:0.289072|reception:4.182223|generation:3.893151
sequence:20|latency:0.345457|reception:4.322717|generation:3.97726
sequence:21|latency:0.406644|reception:4.470523|generation:4.063879
sequence:22|latency:0.276961|reception:4.596016|generation:4.319055
sequence:23|latency:0.212575|reception:4.692128|generation:4.479553
sequence:24|latency:0.072517|reception:5.052113|generation:4.979596
sequence:25|latency:0.184138|reception:5.363726|generation:5.179588
sequence:26|latency:0.104464|reception:5.569768|generation:5.465304
sequence:27|latency:0.124101|reception:5.637028|generation:5.512927
sequence:28|latency:0.096809|reception:5.759455|generation:5.662646
sequence:29|latency:0.128432|reception:5.864936|generation:5.736504
sequence:30|latency:0.173075|reception:5.92878|generation:5.755705
sequence:31|latency:0.297234|reception:6.075332|generation:5.778098
sequence:32|latency:0.134495|reception:6.237355|generation:6.10286
sequence:33|latency:0.222711|reception:6.331211|generation:6.1085
sequence:34|latency:0.288921|reception:6.39899|generation:6.110069
sequence:35|latency:0.422592|reception:6.556103|generation:6.133511
sequence:36|latency:0.403156|reception:6.635155|generation:6.231999
sequence:37|latency:0.426393|reception:6.7136|generation:6.287207
sequence:38|latency:0.489541|reception:6.78378|generation:6.294239
sequence:39|latency:0.519885|reception:6.936876|generation:6.416991
sequence:40|latency:0.594722|reception:7.023423|generation:6.428701
sequence:41|latency:0.734116|reception:7.169002|generation:6.434886
sequence:42|latency:0.777605|reception:7.30397|generation:6.526365
sequence:43|latency:0.53901|reception:7.378825|generation:6.839815
sequence:44|latency:0.57325|reception:7.469499|generation:6.896249
sequence:45|latency:0.451131|reception:7.603775|generation:7.152644
sequence:46|latency:0.504145|reception:7.746157|generation:7.242012
sequence:47|latency:0.561821|reception:7.870621|generation:7.3088
sequence:48|latency:0.564307|reception:8.004126|generation:7.439819
sequence:49|latency:0.426862|reception:8.122249|generation:7.695387
sequence:50|latency:0.459887|reception:8.246863|generation:7.786976
sequence:51|latency:0.069587|reception:8.32669|generation:8.257103
