sequence:0|latency:0.092557|reception:0.092557|generation:0.0
sequence:1|latency:0.115895|reception:0.366021|generation:0.250126
sequence:2|latency:0.085732|reception:0.585823|generation:0.500091
sequence:3|latency:0.086521|reception:0.836644|generation:0.750123
sequence:4|latency:0.133328|reception:1.133395|generation:1.000067
sequence:5|latency:0.13959|reception:1.389649|generation:1.250059
sequence:6|latency:0.085382|reception:1.585507|generation:1.500125
sequence:7|latency:0.143804|reception:1.893921|generation:1.750117
sequence:8|latency:0.122498|reception:2.122568|generation:2.00007
sequence:9|latency:0.124618|reception:2.374742|generation:2.250124
sequence:10|latency:0.094392|reception:2.594522|generation:2.50013
sequence:11|latency:0.130323|reception:2.880445|generation:2.750122
sequence:12|latency:0.146687|reception:3.146771|generation:3.000084
sequence:13|latency:0.100748|reception:3.350868|generation:3.25012
sequence:14|latency:0.140339|reception:3.640468|generation:3.500129
sequence:15|latency:0.093018|reception:3.84314|generation:3.750122
sequence:16|latency:0.090576|reception:4.090646|generation:4.00007
sequence:17|latency:0.119105|reception:4.369225|generation:4.25012
sequence:18|latency:0.124077|reception:4.624171|generation:4.500094
sequence:19|latency:0.159232|reception:4.909354|generation:4.750122
sequence:20|latency:0.145569|reception:5.145629|generation:5.00006
sequence:21|latency:0.155973|reception:5.4061|generation:5.250127
sequence:22|latency:0.134572|reception:5.634696|generation:5.500124
sequence:23|latency:0.134088|reception:5.884122|generation:5.750034
sequence:24|latency:0.151605|reception:6.151698|generation:6.000093
sequence:25|latency:0.133637|reception:6.383747|generation:6.25011
sequence:26|latency:0.089509|reception:6.58963|generation:6.500121
sequence:27|latency:0.155033|reception:6.905157|generation:6.750124
sequence:28|latency:0.08305|reception:7.083117|generation:7.000067
sequence:29|latency:0.153554|reception:7.40364|generation:7.250086
sequence:30|latency:0.126965|reception:7.62706|generation:7.500095
sequence:31|latency:0.083711|reception:7.833821|generation:7.75011
sequence:32|latency:0.112781|reception:8.112847|generation:8.000066
sequence:33|latency:0.098235|reception:8.34834|generation:8.250105
sequence:34|latency:0.147618|reception:8.64771|generation:8.500092
sequence:35|latency:0.118531|reception:8.868623|generation:8.750092
sequence:36|latency:0.100172|reception:9.100243|generation:9.000071
sequence:37|latency:0.153986|reception:9.404105|generation:9.250119
sequence:38|latency:0.068747|reception:9.568876|generation:9.500129
sequence:39|latency:0.073421|reception:9.823497|generation:9.750076
sequence:40|latency:0.070825|reception:10.070892|generation:10.000067
sequence:41|latency:0.064864|reception:10.314953|generation:10.250089
sequence:42|latency:0.121047|reception:10.62117|generation:10.500123
sequence:43|latency:0.117122|reception:10.867248|generation:10.750126
sequence:44|latency:0.065554|reception:11.065625|generation:11.000071
sequence:45|latency:0.123027|reception:11.37315|generation:11.250123
sequence:46|latency:0.090463|reception:11.590591|generation:11.500128
sequence:47|latency:0.119462|reception:11.869592|generation:11.75013
sequence:48|latency:0.083112|reception:12.083205|generation:12.000093
sequence:49|latency:0.099636|reception:12.349759|generation:12.250123
sequence:50|latency:0.089188|reception:12.589316|generation:12.500128
sequence:51|latency:0.069661|reception:12.819743|generation:12.750082
sequence:52|latency:0.138684|reception:13.138764|generation:13.00008
sequence:53|latency:0.061384|reception:13.311511|generation:13.250127
sequence:54|latency:0.098808|reception:13.598935|generation:13.500127
sequence:55|latency:0.092618|reception:13.842744|generation:13.750126
sequence:56|latency:0.087174|reception:14.087245|generation:14.000071
sequence:57|latency:0.102531|reception:14.352653|generation:14.250122
sequence:58|latency:0.105944|reception:14.605984|generation:14.50004
sequence:59|latency:0.097381|reception:14.847449|generation:14.750068
sequence:60|latency:0.110259|reception:15.110356|generation:15.000097
sequence:61|latency:0.063259|reception:15.313356|generation:15.250097
sequence:62|latency:0.135122|reception:15.635252|generation:15.50013
sequence:63|latency:0.12702|reception:15.877114|generation:15.750094
sequence:64|latency:0.083199|reception:16.08327|generation:16.000071
sequence:65|latency:0.103104|reception:16.353258|generation:16.250154
sequence:66|latency:0.127642|reception:16.627699|generation:16.500057
sequence:67|latency:0.107913|reception:16.857991|generation:16.750078
sequence:68|latency:0.060749|reception:17.060822|generation:17.000073
sequence:69|latency:0.119285|reception:17.369417|generation:17.250132
sequence:70|latency:0.102197|reception:17.60234|generation:17.500143
sequence:71|latency:0.141534|reception:17.891663|generation:17.750129
sequence:72|latency:0.150355|reception:18.15041|generation:18.000055
sequence:73|latency:0.137187|reception:18.387307|generation:18.25012
sequence:74|latency:0.143789|reception:18.643919|generation:18.50013
sequence:75|latency:0.066583|reception:18.816716|generation:18.750133
sequence:76|latency:0.098829|reception:19.098901|generation:19.000072
sequence:77|latency:0.073667|reception:19.323775|generation:19.250108
sequence:78|latency:0.125765|reception:19.625907|generation:19.500142
sequence:79|latency:0.145088|reception:19.895225|generation:19.750137
sequence:80|latency:0.150243|reception:20.150329|generation:20.000086
sequence:81|latency:0.140516|reception:20.390613|generation:20.250097
sequence:82|latency:0.077292|reception:20.577328|generation:20.500036
sequence:83|latency:0.075707|reception:20.825832|generation:20.750125
sequence:84|latency:0.145859|reception:21.145923|generation:21.000064
sequence:85|latency:0.071053|reception:21.321148|generation:21.250095
sequence:86|latency:0.110395|reception:21.61045|generation:21.500055
sequence:87|latency:0.118445|reception:21.868568|generation:21.750123
sequence:88|latency:0.13987|reception:22.139942|generation:22.000072
sequence:89|latency:0.142496|reception:22.392616|generation:22.25012
sequence:90|latency:0.063498|reception:22.563573|generation:22.500075
sequence:91|latency:0.14841|reception:22.89853|generation:22.75012
sequence:92|latency:0.090318|reception:23.090378|generation:23.00006
sequence:93|latency:0.082828|reception:23.332954|generation:23.250126
sequence:94|latency:0.078535|reception:23.578664|generation:23.500129
