sequence:0|latency:0.103394|reception:0.103394|generation:0.0
sequence:1|latency:0.175787|reception:0.194479|generation:0.018692
sequence:2|latency:0.073595|reception:0.508055|generation:0.43446
sequence:3|latency:0.192074|reception:0.636161|generation:0.444087
sequence:4|latency:0.125623|reception:0.949773|generation:0.82415
sequence:5|latency:0.203971|reception:1.092429|generation:0.888458
sequence:6|latency:0.15576|reception:1.334919|generation:1.179159
sequence:7|latency:0.129406|reception:1.939714|generation:1.810308
sequence:8|latency:0.101188|reception:2.215094|generation:2.113906
sequence:9|latency:0.099693|reception:2.772618|generation:2.672925
sequence:10|latency:0.060861|reception:2.865795|generation:2.804934
sequence:11|latency:0.059006|reception:3.077466|generation:3.01846
sequence:12|latency:0.15815|reception:3.19026|generation:3.03211
sequence:13|latency:0.110069|reception:3.423745|generation:3.313676
sequence:14|latency:0.091173|reception:4.007417|generation:3.916244
sequence:15|latency:0.14175|reception:4.575923|generation:4.434173
sequence:16|latency:0.06415|reception:4.785348|generation:4.721198
sequence:17|latency:0.082149|reception:4.863553|generation:4.781404
sequence:18|latency:0.089619|reception:4.978641|generation:4.889022
sequence:19|latency:0.068794|reception:5.172161|generation:5.103367
sequence:20|latency:0.148414|reception:6.252608|generation:6.104194
sequence:21|latency:0.202824|reception:6.348055|generation:6.145231
sequence:22|latency:0.198459|reception:6.416725|generation:6.218266
sequence:23|latency:0.10869|reception:6.69531|generation:6.58662
sequence:24|latency:0.105079|reception:7.606144|generation:7.501065
sequence:25|latency:0.140573|reception:8.058935|generation:7.918362
sequence:26|latency:0.120444|reception:8.258229|generation:8.137785
sequence:27|latency:0.151478|reception:8.637153|generation:8.485675
sequence:28|latency:0.092916|reception:8.962791|generation:8.869875
sequence:29|latency:0.062224|reception:9.065774|generation:9.00355
sequence:30|latency:0.088691|reception:9.263434|generation:9.174743
sequence:31|latency:0.0786|reception:9.516442|generation:9.437842
sequence:32|latency:0.066174|reception:9.665878|generation:9.599704
sequence:33|latency:0.135875|reception:9.776047|generation:9.640172
total run time:9.672653
