sequence:0|latency:0.118262|reception:0.118262|generation:0.0
sequence:1|latency:0.192528|reception:0.235374|generation:0.042846
sequence:2|latency:0.164151|reception:0.799424|generation:0.635273
sequence:3|latency:0.30227|reception:0.955272|generation:0.653002
sequence:4|latency:0.323568|reception:1.046914|generation:0.723346
sequence:5|latency:0.110336|reception:1.282184|generation:1.171848
sequence:6|latency:0.25629|reception:1.440229|generation:1.183939
sequence:7|latency:0.313187|reception:1.55042|generation:1.237233
sequence:8|latency:0.447917|reception:1.70487|generation:1.256953
sequence:9|latency:0.083356|reception:1.803606|generation:1.72025
sequence:10|latency:0.110882|reception:1.921176|generation:1.810294
sequence:11|latency:0.219651|reception:2.042628|generation:1.822977
sequence:12|latency:0.269713|reception:2.115172|generation:1.845459
sequence:13|latency:0.175513|reception:2.245204|generation:2.069691
sequence:14|latency:0.116973|reception:2.765329|generation:2.648356
sequence:15|latency:0.203455|reception:2.909783|generation:2.706328
sequence:16|latency:0.244625|reception:3.056745|generation:2.81212
sequence:17|latency:0.275996|reception:3.142279|generation:2.866283
sequence:18|latency:0.272074|reception:3.258962|generation:2.986888
sequence:19|latency:0.349763|reception:3.368993|generation:3.01923
sequence:20|latency:0.411925|reception:3.507688|generation:3.095763
sequence:21|latency:0.541761|reception:3.657391|generation:3.11563
sequence:22|latency:0.526219|reception:3.802053|generation:3.275834
sequence:23|latency:0.630889|reception:3.935816|generation:3.304927
sequence:24|latency:0.666403|reception:4.027342|generation:3.360939
sequence:25|latency:0.754916|reception:4.238537|generation:3.483621
sequence:26|latency:0.838979|reception:4.379583|generation:3.540604
sequence:27|latency:0.842299|reception:4.487942|generation:3.645643
sequence:28|latency:0.824818|reception:4.547054|generation:3.722236
sequence:29|latency:0.87139|reception:4.657199|generation:3.785809
sequence:30|latency:0.90363|reception:4.772096|generation:3.868466
sequence:31|latency:0.999161|reception:4.899278|generation:3.900117
sequence:32|latency:0.990651|reception:5.028008|generation:4.037357
sequence:33|latency:0.994507|reception:5.110598|generation:4.116091
sequence:34|latency:1.019075|reception:5.189188|generation:4.170113
sequence:35|latency:1.09603|reception:5.267064|generation:4.171034
sequence:36|latency:1.135743|reception:5.375163|generation:4.23942
sequence:37|latency:1.194357|reception:5.505912|generation:4.311555
sequence:38|latency:1.259579|reception:5.625757|generation:4.366178
sequence:39|latency:1.246543|reception:5.714344|generation:4.467801
sequence:40|latency:1.251572|reception:5.782576|generation:4.531004
sequence:41|latency:1.166765|reception:5.917676|generation:4.750911
sequence:42|latency:1.162767|reception:6.042438|generation:4.879671
sequence:43|latency:1.133519|reception:6.113054|generation:4.979535
sequence:44|latency:1.143518|reception:6.246015|generation:5.102497
sequence:45|latency:1.12047|reception:6.345859|generation:5.225389
sequence:46|latency:0.945709|reception:6.429826|generation:5.484117
sequence:47|latency:1.037468|reception:6.536695|generation:5.499227
sequence:48|latency:0.82107|reception:6.638616|generation:5.817546
sequence:49|latency:0.893288|reception:6.785383|generation:5.892095
sequence:50|latency:0.928821|reception:6.872482|generation:5.943661
sequence:51|latency:1.009595|reception:7.005666|generation:5.996071
sequence:52|latency:0.995436|reception:7.101338|generation:6.105902
sequence:53|latency:0.523613|reception:7.167832|generation:6.644219
sequence:54|latency:0.510472|reception:7.251191|generation:6.740719
sequence:55|latency:0.368316|reception:7.391277|generation:7.022961
sequence:56|latency:0.327818|reception:7.465821|generation:7.138003
sequence:57|latency:0.286444|reception:7.669433|generation:7.382989
sequence:58|latency:0.361054|reception:7.812816|generation:7.451762
sequence:59|latency:0.12615|reception:8.070642|generation:7.944492
sequence:60|latency:0.242096|reception:8.214833|generation:7.972737
sequence:61|latency:0.122898|reception:8.341605|generation:8.218707
sequence:62|latency:0.235945|reception:8.48071|generation:8.244765
sequence:63|latency:0.164265|reception:8.636437|generation:8.472172
sequence:64|latency:0.257012|reception:8.7693|generation:8.512288
sequence:65|latency:0.234958|reception:8.841362|generation:8.606404
sequence:66|latency:0.158951|reception:8.997269|generation:8.838318
sequence:67|latency:0.096976|reception:9.075472|generation:8.978496
sequence:68|latency:0.119363|reception:9.399169|generation:9.279806
sequence:69|latency:0.160285|reception:9.458468|generation:9.298183
sequence:70|latency:0.275556|reception:9.594319|generation:9.318763
sequence:71|latency:0.300487|reception:9.657669|generation:9.357182
sequence:72|latency:0.124239|reception:9.819185|generation:9.694946
sequence:73|latency:0.084154|reception:9.96538|generation:9.881226
sequence:74|latency:0.108289|reception:10.181264|generation:10.072975
sequence:75|latency:0.156937|reception:10.324174|generation:10.167237
sequence:76|latency:0.177359|reception:10.396637|generation:10.219278
sequence:77|latency:0.136792|reception:10.478439|generation:10.341647
sequence:78|latency:0.131708|reception:10.598486|generation:10.466778
sequence:79|latency:0.189592|reception:10.687849|generation:10.498257
sequence:80|latency:0.145884|reception:11.218568|generation:11.072684
sequence:81|latency:0.130287|reception:11.513627|generation:11.38334
sequence:82|latency:0.171217|reception:11.654918|generation:11.483701
sequence:83|latency:0.167884|reception:11.756005|generation:11.588121
sequence:84|latency:0.067032|reception:11.939429|generation:11.872397
sequence:85|latency:0.147961|reception:12.795295|generation:12.647334
sequence:86|latency:0.171343|reception:12.886977|generation:12.715634
sequence:87|latency:0.239103|reception:13.031652|generation:12.792549
sequence:88|latency:0.068753|reception:13.102934|generation:13.034181
sequence:89|latency:0.117898|reception:13.357062|generation:13.239164
sequence:90|latency:0.111062|reception:13.419583|generation:13.308521
sequence:91|latency:0.081837|reception:14.140565|generation:14.058728
sequence:92|latency:0.11005|reception:14.293794|generation:14.183744
total run time:14.175532
