sequence:0|latency:0.13744|reception:0.13744|generation:0.0
sequence:1|latency:0.211228|reception:0.265932|generation:0.054704
sequence:2|latency:0.306867|reception:0.419468|generation:0.112601
sequence:3|latency:0.20031|reception:0.533706|generation:0.333396
sequence:4|latency:0.159465|reception:0.59594|generation:0.436475
sequence:5|latency:0.215311|reception:0.748199|generation:0.532888
sequence:6|latency:0.274361|reception:0.881775|generation:0.607414
sequence:7|latency:0.357019|reception:1.037533|generation:0.680514
sequence:8|latency:0.506304|reception:1.189707|generation:0.683403
sequence:9|latency:0.415151|reception:1.309705|generation:0.894554
sequence:10|latency:0.447911|reception:1.432143|generation:0.984232
sequence:11|latency:0.385741|reception:1.529339|generation:1.143598
sequence:12|latency:0.404783|reception:1.619525|generation:1.214742
sequence:13|latency:0.357663|reception:1.679892|generation:1.322229
sequence:14|latency:0.407165|reception:1.76901|generation:1.361845
sequence:15|latency:0.253904|reception:1.968127|generation:1.714223
sequence:16|latency:0.319936|reception:2.059046|generation:1.73911
sequence:17|latency:0.254477|reception:2.123709|generation:1.869232
sequence:18|latency:0.303346|reception:2.211141|generation:1.907795
sequence:19|latency:0.25016|reception:2.296097|generation:2.045937
sequence:20|latency:0.096508|reception:2.395857|generation:2.299349
sequence:21|latency:0.083523|reception:2.833736|generation:2.750213
sequence:22|latency:0.123867|reception:2.911145|generation:2.787278
sequence:23|latency:0.163105|reception:2.991598|generation:2.828493
sequence:24|latency:0.151155|reception:3.33431|generation:3.183155
sequence:25|latency:0.168836|reception:3.397735|generation:3.228899
sequence:26|latency:0.215089|reception:3.476056|generation:3.260967
sequence:27|latency:0.245118|reception:3.588588|generation:3.34347
sequence:28|latency:0.070538|reception:3.844773|generation:3.774235
sequence:29|latency:0.131602|reception:3.932845|generation:3.801243
sequence:30|latency:0.273278|reception:4.085967|generation:3.812689
sequence:31|latency:0.307889|reception:4.203977|generation:3.896088
sequence:32|latency:0.263405|reception:4.264359|generation:4.000954
sequence:33|latency:0.276356|reception:4.355919|generation:4.079563
sequence:34|latency:0.278087|reception:4.415777|generation:4.13769
sequence:35|latency:0.341289|reception:4.509973|generation:4.168684
sequence:36|latency:0.437808|reception:4.620629|generation:4.182821
sequence:37|latency:0.285569|reception:4.751218|generation:4.465649
sequence:38|latency:0.285514|reception:4.899733|generation:4.614219
sequence:39|latency:0.382987|reception:5.014652|generation:4.631665
sequence:40|latency:0.333742|reception:5.133373|generation:4.799631
sequence:41|latency:0.378144|reception:5.219895|generation:4.841751
sequence:42|latency:0.22152|reception:5.347438|generation:5.125918
sequence:43|latency:0.341092|reception:5.502942|generation:5.16185
sequence:44|latency:0.109267|reception:5.637353|generation:5.528086
sequence:45|latency:0.196414|reception:5.754338|generation:5.557924
sequence:46|latency:0.238654|reception:5.827372|generation:5.588718
sequence:47|latency:0.367629|reception:5.977241|generation:5.609612
sequence:48|latency:0.134635|reception:6.072752|generation:5.938117
sequence:49|latency:0.151451|reception:6.176093|generation:6.024642
sequence:50|latency:0.146966|reception:6.425995|generation:6.279029
sequence:51|latency:0.09327|reception:6.583682|generation:6.490412
sequence:52|latency:0.136355|reception:6.710072|generation:6.573717
sequence:53|latency:0.251238|reception:6.84952|generation:6.598282
sequence:54|latency:0.377074|reception:6.997503|generation:6.620429
sequence:55|latency:0.416092|reception:7.112078|generation:6.695986
sequence:56|latency:0.414241|reception:7.196684|generation:6.782443
sequence:57|latency:0.432574|reception:7.278362|generation:6.845788
sequence:58|latency:0.565119|reception:7.41689|generation:6.851771
sequence:59|latency:0.623014|reception:7.557383|generation:6.934369
sequence:60|latency:0.624148|reception:7.677897|generation:7.053749
sequence:61|latency:0.726197|reception:7.798137|generation:7.07194
sequence:62|latency:0.84432|reception:7.926279|generation:7.081959
sequence:63|latency:0.942403|reception:8.063286|generation:7.120883
sequence:64|latency:0.884305|reception:8.126687|generation:7.242382
sequence:65|latency:0.871987|reception:8.19056|generation:7.318573
sequence:66|latency:0.907319|reception:8.313357|generation:7.406038
sequence:67|latency:0.82882|reception:8.40991|generation:7.58109
sequence:68|latency:0.856013|reception:8.499458|generation:7.643445
sequence:69|latency:0.961875|reception:8.646012|generation:7.684137
sequence:70|latency:0.736075|reception:8.767843|generation:8.031768
sequence:71|latency:0.820406|reception:8.881649|generation:8.061243
sequence:72|latency:0.808129|reception:8.979967|generation:8.171838
sequence:73|latency:0.682557|reception:9.092538|generation:8.409981
sequence:74|latency:0.755709|reception:9.245898|generation:8.490189
sequence:75|latency:0.742122|reception:9.334069|generation:8.591947
sequence:76|latency:0.822319|reception:9.430444|generation:8.608125
sequence:77|latency:0.799679|reception:9.570469|generation:8.77079
sequence:78|latency:0.750834|reception:9.690701|generation:8.939867
sequence:79|latency:0.868069|reception:9.818833|generation:8.950764
sequence:80|latency:0.963451|reception:9.959112|generation:8.995661
sequence:81|latency:0.988363|reception:10.114289|generation:9.125926
sequence:82|latency:0.73133|reception:10.207787|generation:9.476457
sequence:83|latency:0.597864|reception:10.310483|generation:9.712619
sequence:84|latency:0.462254|reception:10.437976|generation:9.975722
total run time:10.300536
