sequence:0|latency:0.147432|reception:0.147432|generation:0.0
sequence:1|latency:0.119941|reception:0.250159|generation:0.130218
sequence:2|latency:0.069069|reception:0.377885|generation:0.308816
sequence:3|latency:0.116011|reception:0.488985|generation:0.372974
sequence:4|latency:0.228707|reception:0.642531|generation:0.413824
sequence:5|latency:0.091333|reception:0.726144|generation:0.634811
sequence:6|latency:0.095088|reception:0.859048|generation:0.76396
sequence:7|latency:0.168134|reception:0.955463|generation:0.787329
sequence:8|latency:0.085438|reception:1.200196|generation:1.114758
sequence:9|latency:0.101024|reception:1.550582|generation:1.449558
sequence:10|latency:0.141194|reception:1.683836|generation:1.542642
sequence:11|latency:0.181136|reception:1.780588|generation:1.599452
sequence:12|latency:0.225186|reception:1.872119|generation:1.646933
sequence:13|latency:0.235885|reception:1.952808|generation:1.716923
sequence:14|latency:0.287896|reception:2.083272|generation:1.795376
sequence:15|latency:0.236475|reception:2.181854|generation:1.945379
sequence:16|latency:0.321562|reception:2.268112|generation:1.94655
sequence:17|latency:0.35417|reception:2.333369|generation:1.979199
sequence:18|latency:0.402006|reception:2.430603|generation:2.028597
sequence:19|latency:0.461335|reception:2.490083|generation:2.028748
sequence:20|latency:0.275516|reception:2.626275|generation:2.350759
sequence:21|latency:0.344982|reception:2.722054|generation:2.377072
sequence:22|latency:0.479261|reception:2.872131|generation:2.39287
sequence:23|latency:0.337166|reception:2.949022|generation:2.611856
sequence:24|latency:0.318623|reception:3.044736|generation:2.726113
sequence:25|latency:0.37279|reception:3.189002|generation:2.816212
sequence:26|latency:0.44986|reception:3.324175|generation:2.874315
sequence:27|latency:0.300776|reception:3.452318|generation:3.151542
sequence:28|latency:0.348018|reception:3.561503|generation:3.213485
sequence:29|latency:0.351133|reception:3.624742|generation:3.273609
sequence:30|latency:0.388362|reception:3.750913|generation:3.362551
sequence:31|latency:0.453211|reception:3.816239|generation:3.363028
sequence:32|latency:0.582566|reception:3.962055|generation:3.379489
sequence:33|latency:0.627064|reception:4.058108|generation:3.431044
sequence:34|latency:0.656627|reception:4.152806|generation:3.496179
sequence:35|latency:0.731376|reception:4.293593|generation:3.562217
sequence:36|latency:0.819186|reception:4.413817|generation:3.594631
sequence:37|latency:0.867049|reception:4.481061|generation:3.614012
sequence:38|latency:0.877301|reception:4.606468|generation:3.729167
sequence:39|latency:1.00509|reception:4.760412|generation:3.755322
sequence:40|latency:1.080134|reception:4.849681|generation:3.769547
sequence:41|latency:1.141416|reception:4.941539|generation:3.800123
sequence:42|latency:1.180456|reception:5.087212|generation:3.906756
sequence:43|latency:1.24986|reception:5.227527|generation:3.977667
sequence:44|latency:1.206863|reception:5.32552|generation:4.118657
sequence:45|latency:1.34037|reception:5.477606|generation:4.137236
sequence:46|latency:1.413573|reception:5.581047|generation:4.167474
sequence:47|latency:1.334328|reception:5.647205|generation:4.312877
sequence:48|latency:1.430531|reception:5.802353|generation:4.371822
sequence:49|latency:1.475047|reception:5.949962|generation:4.474915
sequence:50|latency:1.388891|reception:6.009943|generation:4.621052
sequence:51|latency:1.467345|reception:6.138984|generation:4.671639
sequence:52|latency:1.404722|reception:6.272891|generation:4.868169
sequence:53|latency:1.288958|reception:6.389254|generation:5.100296
sequence:54|latency:1.390847|reception:6.52235|generation:5.131503
sequence:55|latency:1.401346|reception:6.607532|generation:5.206186
sequence:56|latency:1.451314|reception:6.723354|generation:5.27204
sequence:57|latency:1.415714|reception:6.807904|generation:5.39219
sequence:58|latency:1.465097|reception:6.917531|generation:5.452434
sequence:59|latency:1.367455|reception:7.073336|generation:5.705881
sequence:60|latency:1.477199|reception:7.196105|generation:5.718906
sequence:61|latency:1.618084|reception:7.337623|generation:5.719539
sequence:62|latency:1.450129|reception:7.429284|generation:5.979155
sequence:63|latency:1.55922|reception:7.570125|generation:6.010905
sequence:64|latency:1.647061|reception:7.710669|generation:6.063608
sequence:65|latency:1.70892|reception:7.822285|generation:6.113365
sequence:66|latency:1.708468|reception:7.958224|generation:6.249756
sequence:67|latency:1.717849|reception:8.080703|generation:6.362854
sequence:68|latency:1.72967|reception:8.175391|generation:6.445721
sequence:69|latency:1.81442|reception:8.312363|generation:6.497943
sequence:70|latency:1.748613|reception:8.468456|generation:6.719843
sequence:71|latency:1.732854|reception:8.569839|generation:6.836985
sequence:72|latency:1.752668|reception:8.698248|generation:6.94558
sequence:73|latency:1.796138|reception:8.817928|generation:7.02179
sequence:74|latency:1.911284|reception:8.951683|generation:7.040399
sequence:75|latency:1.942685|reception:9.033646|generation:7.090961
sequence:76|latency:1.890804|reception:9.100726|generation:7.209922
sequence:77|latency:1.904642|reception:9.170324|generation:7.265682
sequence:78|latency:2.023471|reception:9.30394|generation:7.280469
sequence:79|latency:2.160086|reception:9.452283|generation:7.292197
sequence:80|latency:2.269144|reception:9.565193|generation:7.296049
sequence:81|latency:2.130734|reception:9.650803|generation:7.520069
sequence:82|latency:2.197191|reception:9.787562|generation:7.590371
sequence:83|latency:2.112854|reception:9.927988|generation:7.815134
total run time:9.780556
