sequence:0|latency:0.150019|reception:0.150019|generation:0.0
sequence:1|latency:0.134747|reception:1.399386|generation:1.264639
sequence:2|latency:0.097274|reception:1.791306|generation:1.694032
sequence:3|latency:0.137903|reception:2.185332|generation:2.047429
sequence:4|latency:0.117856|reception:2.945557|generation:2.827701
sequence:5|latency:0.086372|reception:3.534723|generation:3.448351
sequence:6|latency:0.12819|reception:3.717119|generation:3.588929
sequence:7|latency:0.276372|reception:3.872648|generation:3.596276
sequence:8|latency:0.36158|reception:3.968773|generation:3.607193
sequence:9|latency:0.113565|reception:4.672959|generation:4.559394
sequence:10|latency:0.1155|reception:5.159599|generation:5.044099
sequence:11|latency:0.137221|reception:5.606198|generation:5.468977
sequence:12|latency:0.117161|reception:5.977668|generation:5.860507
sequence:13|latency:0.13178|reception:6.750775|generation:6.618995
sequence:14|latency:0.149335|reception:7.584405|generation:7.43507
sequence:15|latency:0.118443|reception:8.090706|generation:7.972263
sequence:16|latency:0.13672|reception:8.177354|generation:8.040634
sequence:17|latency:0.154484|reception:8.417558|generation:8.263074
sequence:18|latency:0.117641|reception:8.576779|generation:8.459138
sequence:19|latency:0.130784|reception:8.729242|generation:8.598458
total run time:8.579223
