sequence:0|latency:0.091157|reception:0.091157|generation:0.0
sequence:1|latency:0.095145|reception:0.298571|generation:0.203426
sequence:2|latency:0.118872|reception:0.461659|generation:0.342787
sequence:3|latency:0.165985|reception:0.558235|generation:0.39225
sequence:4|latency:0.255177|reception:0.758572|generation:0.503395
sequence:5|latency:0.314193|reception:0.956978|generation:0.642785
sequence:6|latency:0.326246|reception:1.072829|generation:0.746583
sequence:7|latency:0.268826|reception:1.156161|generation:0.887335
sequence:8|latency:0.394595|reception:1.304991|generation:0.910396
sequence:9|latency:0.412322|reception:1.381579|generation:0.969257
sequence:10|latency:0.330287|reception:1.522548|generation:1.192261
sequence:11|latency:0.333478|reception:1.609967|generation:1.276489
sequence:12|latency:0.399684|reception:1.678508|generation:1.278824
sequence:13|latency:0.455232|reception:1.740088|generation:1.284856
sequence:14|latency:0.477323|reception:1.820348|generation:1.343025
sequence:15|latency:0.507054|reception:1.884721|generation:1.377667
sequence:16|latency:0.436776|reception:2.020145|generation:1.583369
sequence:17|latency:0.530551|reception:2.1467|generation:1.616149
sequence:18|latency:0.517553|reception:2.283039|generation:1.765486
sequence:19|latency:0.629494|reception:2.434401|generation:1.804907
sequence:20|latency:0.6598|reception:2.524715|generation:1.864915
sequence:21|latency:0.406423|reception:2.600871|generation:2.194448
sequence:22|latency:0.424383|reception:2.665873|generation:2.24149
sequence:23|latency:0.361694|reception:2.74463|generation:2.382936
sequence:24|latency:0.217922|reception:2.847867|generation:2.629945
sequence:25|latency:0.298752|reception:2.982233|generation:2.683481
sequence:26|latency:0.352047|reception:3.120265|generation:2.768218
sequence:27|latency:0.268727|reception:3.242655|generation:2.973928
sequence:28|latency:0.283202|reception:3.332525|generation:3.049323
sequence:29|latency:0.340639|reception:3.405581|generation:3.064942
sequence:30|latency:0.231268|reception:3.523718|generation:3.29245
sequence:31|latency:0.323463|reception:3.622449|generation:3.298986
sequence:32|latency:0.164324|reception:3.78058|generation:3.616256
sequence:33|latency:0.20756|reception:3.912963|generation:3.705403
sequence:34|latency:0.225866|reception:3.990594|generation:3.764728
sequence:35|latency:0.215006|reception:4.06889|generation:3.853884
sequence:36|latency:0.255586|reception:4.13457|generation:3.878984
sequence:37|latency:0.107686|reception:4.342513|generation:4.234827
sequence:38|latency:0.320786|reception:4.58135|generation:4.260564
sequence:39|latency:0.362458|reception:4.676914|generation:4.314456
sequence:40|latency:0.387916|reception:4.750044|generation:4.362128
sequence:41|latency:0.451954|reception:4.816345|generation:4.364391
sequence:42|latency:0.380458|reception:4.974326|generation:4.593868
sequence:43|latency:0.422674|reception:5.067658|generation:4.644984
sequence:44|latency:0.54106|reception:5.194535|generation:4.653475
sequence:45|latency:0.581076|reception:5.264371|generation:4.683295
sequence:46|latency:0.55851|reception:5.349539|generation:4.791029
sequence:47|latency:0.384484|reception:5.43304|generation:5.048556
sequence:48|latency:0.440304|reception:5.562024|generation:5.12172
sequence:49|latency:0.547595|reception:5.709487|generation:5.161892
sequence:50|latency:0.664253|reception:5.845482|generation:5.181229
sequence:51|latency:0.54619|reception:5.944602|generation:5.398412
sequence:52|latency:0.609466|reception:6.036243|generation:5.426777
sequence:53|latency:0.595732|reception:6.098776|generation:5.503044
sequence:54|latency:0.585391|reception:6.175504|generation:5.590113
sequence:55|latency:0.729944|reception:6.328452|generation:5.598508
sequence:56|latency:0.606237|reception:6.409154|generation:5.802917
sequence:57|latency:0.157493|reception:6.596588|generation:6.439095
sequence:58|latency:0.069132|reception:6.765254|generation:6.696122
sequence:59|latency:0.141646|reception:6.875061|generation:6.733415
sequence:60|latency:0.188062|reception:6.936247|generation:6.748185
sequence:61|latency:0.171897|reception:7.074778|generation:6.902881
sequence:62|latency:0.2712|reception:7.220293|generation:6.949093
sequence:63|latency:0.353411|reception:7.306638|generation:6.953227
sequence:64|latency:0.444285|reception:7.428491|generation:6.984206
sequence:65|latency:0.419994|reception:7.549422|generation:7.129428
sequence:66|latency:0.399695|reception:7.62681|generation:7.227115
sequence:67|latency:0.471296|reception:7.762562|generation:7.291266
sequence:68|latency:0.433958|reception:7.849196|generation:7.415238
sequence:69|latency:0.416903|reception:7.994973|generation:7.57807
sequence:70|latency:0.377173|reception:8.129485|generation:7.752312
sequence:71|latency:0.128845|reception:8.246422|generation:8.117577
sequence:72|latency:0.091061|reception:8.380012|generation:8.288951
