sequence:0|latency:0.154181|reception:0.154181|generation:0.0
sequence:1|latency:0.173041|reception:0.21377|generation:0.040729
sequence:2|latency:0.172848|reception:0.291288|generation:0.11844
sequence:3|latency:0.12872|reception:0.637762|generation:0.509042
sequence:4|latency:0.127259|reception:0.83842|generation:0.711161
sequence:5|latency:0.254475|reception:0.975931|generation:0.721456
sequence:6|latency:0.109948|reception:1.616963|generation:1.507015
sequence:7|latency:0.126013|reception:1.703461|generation:1.577448
sequence:8|latency:0.239859|reception:1.851121|generation:1.611262
sequence:9|latency:0.276182|reception:1.983164|generation:1.706982
sequence:10|latency:0.36551|reception:2.128488|generation:1.762978
sequence:11|latency:0.312982|reception:2.22617|generation:1.913188
sequence:12|latency:0.396741|reception:2.341441|generation:1.9447
sequence:13|latency:0.463927|reception:2.43261|generation:1.968683
sequence:14|latency:0.328625|reception:2.547169|generation:2.218544
sequence:15|latency:0.348493|reception:2.659481|generation:2.310988
sequence:16|latency:0.445759|reception:2.816067|generation:2.370308
sequence:17|latency:0.506173|reception:2.918491|generation:2.412318
sequence:18|latency:0.520949|reception:3.044706|generation:2.523757
sequence:19|latency:0.377176|reception:3.120126|generation:2.74295
sequence:20|latency:0.155061|reception:3.676788|generation:3.521727
sequence:21|latency:0.244848|reception:3.780893|generation:3.536045
sequence:22|latency:0.068338|reception:3.853022|generation:3.784684
sequence:23|latency:0.156465|reception:4.802637|generation:4.646172
sequence:24|latency:0.227335|reception:4.923699|generation:4.696364
sequence:25|latency:0.177037|reception:5.061928|generation:4.884891
sequence:26|latency:0.148604|reception:5.189829|generation:5.041225
sequence:27|latency:0.193733|reception:5.295985|generation:5.102252
sequence:28|latency:0.114709|reception:5.549699|generation:5.43499
sequence:29|latency:0.134798|reception:5.833944|generation:5.699146
sequence:30|latency:0.199087|reception:5.93873|generation:5.739643
sequence:31|latency:0.146322|reception:6.107617|generation:5.961295
sequence:32|latency:0.109009|reception:6.568432|generation:6.459423
sequence:33|latency:0.134171|reception:6.734332|generation:6.600161
sequence:34|latency:0.084243|reception:6.834577|generation:6.750334
sequence:35|latency:0.079817|reception:6.991325|generation:6.911508
sequence:36|latency:0.137277|reception:7.210661|generation:7.073384
sequence:37|latency:0.0843|reception:7.299761|generation:7.215461
sequence:38|latency:0.113244|reception:7.708279|generation:7.595035
sequence:39|latency:0.063323|reception:7.906294|generation:7.842971
sequence:40|latency:0.243491|reception:8.52568|generation:8.282189
sequence:41|latency:0.317616|reception:8.619635|generation:8.302019
sequence:42|latency:0.37861|reception:8.735191|generation:8.356581
sequence:43|latency:0.447033|reception:8.810652|generation:8.363619
sequence:44|latency:0.497314|reception:8.907468|generation:8.410154
sequence:45|latency:0.148917|reception:9.166421|generation:9.017504
sequence:46|latency:0.139628|reception:9.260803|generation:9.121175
sequence:47|latency:0.10443|reception:9.350376|generation:9.245946
sequence:48|latency:0.224386|reception:9.500888|generation:9.276502
sequence:49|latency:0.09717|reception:9.73025|generation:9.63308
sequence:50|latency:0.136532|reception:9.79738|generation:9.660848
sequence:51|latency:0.239028|reception:9.925771|generation:9.686743
total run time:9.77159
