sequence:0|latency:0.299162|reception:0.299162|generation:0.0
sequence:1|latency:0.357582|reception:0.413466|generation:0.055884
sequence:2|latency:0.396368|reception:0.490608|generation:0.09424
sequence:3|latency:0.492666|reception:0.602352|generation:0.109686
sequence:4|latency:0.445442|reception:0.662554|generation:0.217112
sequence:5|latency:0.506138|reception:0.79111|generation:0.284972
sequence:6|latency:0.064194|reception:0.899172|generation:0.834978
sequence:7|latency:0.184469|reception:1.049636|generation:0.865167
sequence:8|latency:0.303441|reception:1.187195|generation:0.883754
sequence:9|latency:0.235301|reception:1.318336|generation:1.083035
sequence:10|latency:0.310811|reception:1.438091|generation:1.12728
sequence:11|latency:0.331262|reception:1.563795|generation:1.232533
sequence:12|latency:0.152905|reception:1.653293|generation:1.500388
sequence:13|latency:0.214005|reception:1.725384|generation:1.511379
sequence:14|latency:0.307754|reception:1.828104|generation:1.52035
sequence:15|latency:0.349186|reception:1.890581|generation:1.541395
sequence:16|latency:0.286921|reception:1.951325|generation:1.664404
sequence:17|latency:0.260931|reception:2.018715|generation:1.757784
sequence:18|latency:0.303495|reception:2.158123|generation:1.854628
sequence:19|latency:0.312644|reception:2.229049|generation:1.916405
sequence:20|latency:0.084664|reception:2.293877|generation:2.209213
sequence:21|latency:0.234037|reception:2.444555|generation:2.210518
total run time:2.145393
