sequence:0|latency:0.081108|reception:0.081108|generation:0.0
sequence:1|latency:0.108742|reception:0.211886|generation:0.103144
sequence:2|latency:0.161471|reception:0.367771|generation:0.2063
sequence:3|latency:0.175484|reception:0.484828|generation:0.309344
sequence:4|latency:0.157109|reception:0.569572|generation:0.412463
sequence:5|latency:0.134482|reception:0.650039|generation:0.515557
sequence:6|latency:0.116651|reception:0.735269|generation:0.618618
sequence:7|latency:0.242853|reception:0.964537|generation:0.721684
sequence:8|latency:0.284969|reception:1.109829|generation:0.82486
sequence:9|latency:0.303569|reception:1.231524|generation:0.927955
sequence:10|latency:0.344441|reception:1.375483|generation:1.031042
sequence:11|latency:0.375942|reception:1.510076|generation:1.134134
sequence:12|latency:0.39748|reception:1.634625|generation:1.237145
sequence:13|latency:0.43879|reception:1.77905|generation:1.34026
sequence:14|latency:0.437547|reception:1.880972|generation:1.443425
sequence:15|latency:0.423852|reception:1.970359|generation:1.546507
sequence:16|latency:0.430917|reception:2.080516|generation:1.649599
sequence:17|latency:0.405721|reception:2.158407|generation:1.752686
sequence:18|latency:0.449052|reception:2.304832|generation:1.85578
sequence:19|latency:0.461166|reception:2.42004|generation:1.958874
sequence:20|latency:0.431815|reception:2.493783|generation:2.061968
sequence:21|latency:0.427648|reception:2.592654|generation:2.165006
sequence:22|latency:0.402561|reception:2.670714|generation:2.268153
sequence:23|latency:0.453295|reception:2.824538|generation:2.371243
sequence:24|latency:0.409525|reception:2.883828|generation:2.474303
sequence:25|latency:0.454152|reception:3.031579|generation:2.577427
sequence:26|latency:0.487904|reception:3.168412|generation:2.680508
sequence:27|latency:0.456673|reception:3.240221|generation:2.783548
sequence:28|latency:0.504132|reception:3.390824|generation:2.886692
sequence:29|latency:0.46011|reception:3.44991|generation:2.9898
sequence:30|latency:0.451884|reception:3.544765|generation:3.092881
sequence:31|latency:0.479705|reception:3.67568|generation:3.195975
sequence:32|latency:0.518925|reception:3.817928|generation:3.299003
sequence:33|latency:0.543184|reception:3.945342|generation:3.402158
sequence:34|latency:0.579754|reception:4.085006|generation:3.505252
sequence:35|latency:0.541663|reception:4.149971|generation:3.608308
sequence:36|latency:0.522916|reception:4.234352|generation:3.711436
sequence:37|latency:0.549267|reception:4.363789|generation:3.814522
sequence:38|latency:0.508924|reception:4.426559|generation:3.917635
sequence:39|latency:0.490648|reception:4.511328|generation:4.02068
sequence:40|latency:0.521932|reception:4.645736|generation:4.123804
sequence:41|latency:0.495835|reception:4.72269|generation:4.226855
sequence:42|latency:0.506912|reception:4.836901|generation:4.329989
sequence:43|latency:0.472115|reception:4.905187|generation:4.433072
sequence:44|latency:0.451897|reception:4.988066|generation:4.536169
sequence:45|latency:0.504351|reception:5.143606|generation:4.639255
sequence:46|latency:0.542381|reception:5.284693|generation:4.742312
sequence:47|latency:0.545968|reception:5.39144|generation:4.845472
sequence:48|latency:0.563008|reception:5.511551|generation:4.948543
sequence:49|latency:0.606949|reception:5.658513|generation:5.051564
sequence:50|latency:0.636716|reception:5.791431|generation:5.154715
sequence:51|latency:0.625183|reception:5.883|generation:5.257817
sequence:52|latency:0.657331|reception:6.018204|generation:5.360873
sequence:53|latency:0.625079|reception:6.089077|generation:5.463998
sequence:54|latency:0.590913|reception:6.157981|generation:5.567068
sequence:55|latency:0.625551|reception:6.295735|generation:5.670184
sequence:56|latency:0.667805|reception:6.441079|generation:5.773274
sequence:57|latency:0.626981|reception:6.503286|generation:5.876305
sequence:58|latency:0.584126|reception:6.563546|generation:5.97942
sequence:59|latency:0.568064|reception:6.650608|generation:6.082544
sequence:60|latency:0.544054|reception:6.729638|generation:6.185584
sequence:61|latency:0.582684|reception:6.871385|generation:6.288701
sequence:62|latency:0.627299|reception:7.019051|generation:6.391752
sequence:63|latency:0.66117|reception:7.156064|generation:6.494894
sequence:64|latency:0.626121|reception:7.224135|generation:6.598014
sequence:65|latency:0.610546|reception:7.311647|generation:6.701101
sequence:66|latency:0.663304|reception:7.467499|generation:6.804195
sequence:67|latency:0.644041|reception:7.551297|generation:6.907256
sequence:68|latency:0.689813|reception:7.700162|generation:7.010349
sequence:69|latency:0.692598|reception:7.806068|generation:7.11347
sequence:70|latency:0.682523|reception:7.899035|generation:7.216512
sequence:71|latency:0.715518|reception:8.035169|generation:7.319651
sequence:72|latency:0.685431|reception:8.108189|generation:7.422758
sequence:73|latency:0.708837|reception:8.234679|generation:7.525842
sequence:74|latency:0.664812|reception:8.293751|generation:7.628939
sequence:75|latency:0.678971|reception:8.410936|generation:7.731965
sequence:76|latency:0.685442|reception:8.520564|generation:7.835122
sequence:77|latency:0.811385|reception:8.749571|generation:7.938186
sequence:78|latency:0.848031|reception:8.889277|generation:8.041246
sequence:79|latency:0.83248|reception:8.976867|generation:8.144387
sequence:80|latency:0.867234|reception:9.114717|generation:8.247483
sequence:81|latency:0.855034|reception:9.205591|generation:8.350557
sequence:82|latency:0.844534|reception:9.298121|generation:8.453587
sequence:83|latency:0.896166|reception:9.452921|generation:8.556755
sequence:84|latency:0.924759|reception:9.584556|generation:8.659797
sequence:85|latency:0.923534|reception:9.686468|generation:8.762934
sequence:86|latency:0.895562|reception:9.761571|generation:8.866009
sequence:87|latency:0.858627|reception:9.827692|generation:8.969065
sequence:88|latency:0.8745|reception:9.946711|generation:9.072211
sequence:89|latency:0.90552|reception:10.080775|generation:9.175255
sequence:90|latency:0.924375|reception:10.202773|generation:9.278398
sequence:91|latency:0.886292|reception:10.267739|generation:9.381447
total run time:10.186631
