sequence:0|latency:0.131257|reception:0.131257|generation:0.0
sequence:1|latency:0.259102|reception:0.262787|generation:0.003685
sequence:2|latency:0.284214|reception:0.514471|generation:0.230257
sequence:3|latency:0.15172|reception:0.672644|generation:0.520924
sequence:4|latency:0.10282|reception:1.062698|generation:0.959878
sequence:5|latency:0.132482|reception:1.282033|generation:1.149551
sequence:6|latency:0.208195|reception:1.358623|generation:1.150428
sequence:7|latency:0.347775|reception:1.501484|generation:1.153709
sequence:8|latency:0.236635|reception:1.606282|generation:1.369647
sequence:9|latency:0.261263|reception:1.752064|generation:1.490801
sequence:10|latency:0.343482|reception:1.852115|generation:1.508633
sequence:11|latency:0.393279|reception:2.008027|generation:1.614748
sequence:12|latency:0.252568|reception:2.097042|generation:1.844474
sequence:13|latency:0.291455|reception:2.25467|generation:1.963215
sequence:14|latency:0.294572|reception:2.396358|generation:2.101786
sequence:15|latency:0.306165|reception:2.474312|generation:2.168147
sequence:16|latency:0.347475|reception:2.553936|generation:2.206461
sequence:17|latency:0.390259|reception:2.616408|generation:2.226149
sequence:18|latency:0.496167|reception:2.76719|generation:2.271023
sequence:19|latency:0.397934|reception:2.863523|generation:2.465589
sequence:20|latency:0.5049|reception:3.018244|generation:2.513344
sequence:21|latency:0.498683|reception:3.156771|generation:2.658088
sequence:22|latency:0.507702|reception:3.281776|generation:2.774074
sequence:23|latency:0.406313|reception:3.421981|generation:3.015668
sequence:24|latency:0.444001|reception:3.547178|generation:3.103177
sequence:25|latency:0.552221|reception:3.699601|generation:3.14738
sequence:26|latency:0.56689|reception:3.840177|generation:3.273287
sequence:27|latency:0.429495|reception:3.915325|generation:3.48583
sequence:28|latency:0.163771|reception:4.032567|generation:3.868796
sequence:29|latency:0.120423|reception:4.117169|generation:3.996746
sequence:30|latency:0.265783|reception:4.267289|generation:4.001506
sequence:31|latency:0.251761|reception:4.387585|generation:4.135824
sequence:32|latency:0.216203|reception:4.487006|generation:4.270803
sequence:33|latency:0.20567|reception:4.718191|generation:4.512521
sequence:34|latency:0.219574|reception:4.791072|generation:4.571498
sequence:35|latency:0.244559|reception:4.91148|generation:4.666921
sequence:36|latency:0.317704|reception:5.059929|generation:4.742225
sequence:37|latency:0.358429|reception:5.161002|generation:4.802573
sequence:38|latency:0.336569|reception:5.239897|generation:4.903328
sequence:39|latency:0.087309|reception:5.722008|generation:5.634699
sequence:40|latency:0.078904|reception:5.964295|generation:5.885391
sequence:41|latency:0.084|reception:6.10051|generation:6.01651
sequence:42|latency:0.133822|reception:6.247868|generation:6.114046
sequence:43|latency:0.157487|reception:6.372885|generation:6.215398
sequence:44|latency:0.07556|reception:6.818169|generation:6.742609
sequence:45|latency:0.065998|reception:7.242479|generation:7.176481
sequence:46|latency:0.073114|reception:7.477483|generation:7.404369
sequence:47|latency:0.15491|reception:7.580935|generation:7.426025
sequence:48|latency:0.11149|reception:8.314712|generation:8.203222
sequence:49|latency:0.146134|reception:8.77508|generation:8.628946
sequence:50|latency:0.138095|reception:9.025002|generation:8.886907
sequence:51|latency:0.159259|reception:9.088757|generation:8.929498
sequence:52|latency:0.192096|reception:9.222447|generation:9.030351
sequence:53|latency:0.287267|reception:9.353635|generation:9.066368
sequence:54|latency:0.08371|reception:9.596652|generation:9.512942
sequence:55|latency:0.105774|reception:9.896321|generation:9.790547
sequence:56|latency:0.109653|reception:9.99047|generation:9.880817
sequence:57|latency:0.089859|reception:10.05991|generation:9.970051
sequence:58|latency:0.098715|reception:10.172498|generation:10.073783
sequence:59|latency:0.134213|reception:10.256651|generation:10.122438
sequence:60|latency:0.108989|reception:10.588783|generation:10.479794
sequence:61|latency:0.092612|reception:10.684392|generation:10.59178
sequence:62|latency:0.113509|reception:10.949426|generation:10.835917
sequence:63|latency:0.160995|reception:11.074994|generation:10.913999
sequence:64|latency:0.2748|reception:11.216551|generation:10.941751
sequence:65|latency:0.117459|reception:11.706258|generation:11.588799
sequence:66|latency:0.106565|reception:11.937934|generation:11.831369
sequence:67|latency:0.155546|reception:12.104165|generation:11.948619
sequence:68|latency:0.175617|reception:12.174179|generation:11.998562
sequence:69|latency:0.245202|reception:12.26437|generation:12.019168
sequence:70|latency:0.205564|reception:12.332891|generation:12.127327
sequence:71|latency:0.070844|reception:12.746272|generation:12.675428
sequence:72|latency:0.098104|reception:12.946361|generation:12.848257
sequence:73|latency:0.153025|reception:13.327048|generation:13.174023
sequence:74|latency:0.155553|reception:13.410612|generation:13.255059
sequence:75|latency:0.144084|reception:13.54059|generation:13.396506
sequence:76|latency:0.110019|reception:13.740472|generation:13.630453
sequence:77|latency:0.239245|reception:13.872277|generation:13.633032
sequence:78|latency:0.179121|reception:14.000319|generation:13.821198
sequence:79|latency:0.113643|reception:14.155995|generation:14.042352
sequence:80|latency:0.167184|reception:14.658444|generation:14.49126
sequence:81|latency:0.144325|reception:14.71691|generation:14.572585
sequence:82|latency:0.0601|reception:15.026873|generation:14.966773
sequence:83|latency:0.116164|reception:15.151457|generation:15.035293
sequence:84|latency:0.072337|reception:15.245923|generation:15.173586
sequence:85|latency:0.129576|reception:15.583175|generation:15.453599
sequence:86|latency:0.236412|reception:15.698269|generation:15.461857
sequence:87|latency:0.090049|reception:15.948573|generation:15.858524
sequence:88|latency:0.188711|reception:16.071257|generation:15.882546
sequence:89|latency:0.138041|reception:16.138439|generation:16.000398
sequence:90|latency:0.253809|reception:16.270486|generation:16.016677
sequence:91|latency:0.131485|reception:16.731391|generation:16.599906
sequence:92|latency:0.126163|reception:17.139998|generation:17.013835
sequence:93|latency:0.092935|reception:17.412678|generation:17.319743
sequence:94|latency:0.132337|reception:17.514766|generation:17.382429
sequence:95|latency:0.280924|reception:17.663976|generation:17.383052
sequence:96|latency:0.079461|reception:17.735176|generation:17.655715
sequence:97|latency:0.130725|reception:18.498768|generation:18.368043
sequence:98|latency:0.112996|reception:18.599555|generation:18.486559
sequence:99|latency:0.142987|reception:19.299607|generation:19.15662
sequence:100|latency:0.208981|reception:19.380067|generation:19.171086
sequence:101|latency:0.131973|reception:19.70358|generation:19.571607
total run time:19.572323
