sequence:0|latency:0.088342|reception:0.088342|generation:0.0
sequence:1|latency:0.145117|reception:0.153525|generation:0.008408
sequence:2|latency:0.090574|reception:0.218594|generation:0.12802
sequence:3|latency:0.119166|reception:0.335801|generation:0.216635
sequence:4|latency:0.261726|reception:0.480089|generation:0.218363
sequence:5|latency:0.378727|reception:0.637718|generation:0.258991
sequence:6|latency:0.507768|reception:0.782163|generation:0.274395
sequence:7|latency:0.491809|reception:0.935511|generation:0.443702
sequence:8|latency:0.577665|reception:1.025849|generation:0.448184
sequence:9|latency:0.606958|reception:1.096183|generation:0.489225
sequence:10|latency:0.490757|reception:1.225152|generation:0.734395
sequence:11|latency:0.607519|reception:1.37542|generation:0.767901
sequence:12|latency:0.157141|reception:1.48607|generation:1.328929
sequence:13|latency:0.306666|reception:1.641201|generation:1.334535
sequence:14|latency:0.233273|reception:1.722176|generation:1.488903
sequence:15|latency:0.277974|reception:1.852308|generation:1.574334
sequence:16|latency:0.247663|reception:1.970726|generation:1.723063
sequence:17|latency:0.115872|reception:2.111234|generation:1.995362
sequence:18|latency:0.095422|reception:2.267485|generation:2.172063
sequence:19|latency:0.139864|reception:2.5937|generation:2.453836
sequence:20|latency:0.123133|reception:2.715211|generation:2.592078
sequence:21|latency:0.159203|reception:2.776333|generation:2.61713
sequence:22|latency:0.174389|reception:3.186698|generation:3.012309
sequence:23|latency:0.137378|reception:3.479668|generation:3.34229
sequence:24|latency:0.14182|reception:3.608124|generation:3.466304
sequence:25|latency:0.088666|reception:3.722551|generation:3.633885
sequence:26|latency:0.137996|reception:4.056307|generation:3.918311
sequence:27|latency:0.131528|reception:4.232206|generation:4.100678
sequence:28|latency:0.163459|reception:4.32585|generation:4.162391
sequence:29|latency:0.300475|reception:4.473133|generation:4.172658
sequence:30|latency:0.209426|reception:4.545405|generation:4.335979
sequence:31|latency:0.216566|reception:4.663254|generation:4.446688
sequence:32|latency:0.259275|reception:4.725148|generation:4.465873
sequence:33|latency:0.281049|reception:4.787762|generation:4.506713
sequence:34|latency:0.426918|reception:4.9337|generation:4.506782
sequence:35|latency:0.527888|reception:5.056035|generation:4.528147
sequence:36|latency:0.544655|reception:5.170685|generation:4.62603
sequence:37|latency:0.609101|reception:5.250719|generation:4.641618
sequence:38|latency:0.48679|reception:5.383866|generation:4.897076
sequence:39|latency:0.444642|reception:5.448697|generation:5.004055
sequence:40|latency:0.451826|reception:5.518122|generation:5.066296
sequence:41|latency:0.410603|reception:5.627957|generation:5.217354
sequence:42|latency:0.35912|reception:5.766816|generation:5.407696
sequence:43|latency:0.411493|reception:5.877108|generation:5.465615
sequence:44|latency:0.314318|reception:5.947912|generation:5.633594
sequence:45|latency:0.399338|reception:6.105192|generation:5.705854
sequence:46|latency:0.325568|reception:6.249718|generation:5.92415
sequence:47|latency:0.422912|reception:6.406039|generation:5.983127
sequence:48|latency:0.463429|reception:6.487384|generation:6.023955
sequence:49|latency:0.496487|reception:6.61745|generation:6.120963
sequence:50|latency:0.573164|reception:6.725801|generation:6.152637
sequence:51|latency:0.485327|reception:6.927448|generation:6.442121
sequence:52|latency:0.411141|reception:7.004735|generation:6.593594
sequence:53|latency:0.49094|reception:7.10549|generation:6.61455
sequence:54|latency:0.389468|reception:7.213208|generation:6.82374
sequence:55|latency:0.441472|reception:7.303354|generation:6.861882
sequence:56|latency:0.325852|reception:7.438363|generation:7.112511
sequence:57|latency:0.261329|reception:7.516768|generation:7.255439
sequence:58|latency:0.110179|reception:7.808443|generation:7.698264
sequence:59|latency:0.198966|reception:7.925228|generation:7.726262
sequence:60|latency:0.177231|reception:8.076278|generation:7.899047
sequence:61|latency:0.104305|reception:8.147793|generation:8.043488
sequence:62|latency:0.09486|reception:8.318667|generation:8.223807
sequence:63|latency:0.115131|reception:8.590177|generation:8.475046
sequence:64|latency:0.12351|reception:8.9068|generation:8.78329
sequence:65|latency:0.130828|reception:9.095163|generation:8.964335
sequence:66|latency:0.119982|reception:9.568096|generation:9.448114
sequence:67|latency:0.121104|reception:9.637647|generation:9.516543
sequence:68|latency:0.115429|reception:9.878281|generation:9.762852
total run time:9.789939
