sequence:0|latency:0.075309|reception:0.075309|generation:0.0
sequence:1|latency:0.097944|reception:0.185187|generation:0.087243
sequence:2|latency:0.072346|reception:0.30727|generation:0.234924
sequence:3|latency:0.214264|reception:0.456246|generation:0.241982
sequence:4|latency:0.197215|reception:0.558079|generation:0.360864
sequence:5|latency:0.294768|reception:0.697446|generation:0.402678
sequence:6|latency:0.293866|reception:0.790126|generation:0.49626
sequence:7|latency:0.346412|reception:0.893813|generation:0.547401
sequence:8|latency:0.391742|reception:1.040294|generation:0.648552
sequence:9|latency:0.40481|reception:1.132208|generation:0.727398
sequence:10|latency:0.421579|reception:1.258848|generation:0.837269
sequence:11|latency:0.376013|reception:1.320749|generation:0.944736
sequence:12|latency:0.443788|reception:1.399512|generation:0.955724
sequence:13|latency:0.106247|reception:1.734615|generation:1.628368
sequence:14|latency:0.164309|reception:1.802274|generation:1.637965
sequence:15|latency:0.196575|reception:1.956267|generation:1.759692
sequence:16|latency:0.246448|reception:2.044474|generation:1.798026
sequence:17|latency:0.269298|reception:2.179223|generation:1.909925
sequence:18|latency:0.154086|reception:2.396023|generation:2.241937
sequence:19|latency:0.128607|reception:2.725394|generation:2.596787
sequence:20|latency:0.204944|reception:2.827751|generation:2.622807
sequence:21|latency:0.239897|reception:2.942475|generation:2.702578
sequence:22|latency:0.305144|reception:3.039251|generation:2.734107
sequence:23|latency:0.262521|reception:3.153266|generation:2.890745
sequence:24|latency:0.100411|reception:3.249933|generation:3.149522
sequence:25|latency:0.210677|reception:3.378081|generation:3.167404
sequence:26|latency:0.17408|reception:3.4387|generation:3.26462
sequence:27|latency:0.127622|reception:3.513955|generation:3.386333
sequence:28|latency:0.200324|reception:3.621852|generation:3.421528
sequence:29|latency:0.136703|reception:3.750235|generation:3.613532
sequence:30|latency:0.115983|reception:3.838696|generation:3.722713
sequence:31|latency:0.114526|reception:3.928583|generation:3.814057
sequence:32|latency:0.156072|reception:4.00132|generation:3.845248
sequence:33|latency:0.187203|reception:4.060523|generation:3.87332
sequence:34|latency:0.182506|reception:4.160871|generation:3.978365
sequence:35|latency:0.142592|reception:4.325492|generation:4.1829
sequence:36|latency:0.153411|reception:4.417079|generation:4.263668
sequence:37|latency:0.299298|reception:4.563068|generation:4.26377
sequence:38|latency:0.389475|reception:4.662398|generation:4.272923
sequence:39|latency:0.077962|reception:4.751355|generation:4.673393
sequence:40|latency:0.072805|reception:4.825329|generation:4.752524
sequence:41|latency:0.114679|reception:4.997578|generation:4.882899
sequence:42|latency:0.167963|reception:5.141067|generation:4.973104
sequence:43|latency:0.143215|reception:5.215121|generation:5.071906
sequence:44|latency:0.207225|reception:5.406324|generation:5.199099
sequence:45|latency:0.219051|reception:5.526875|generation:5.307824
sequence:46|latency:0.28603|reception:5.604674|generation:5.318644
sequence:47|latency:0.119645|reception:5.687009|generation:5.567364
sequence:48|latency:0.243623|reception:5.82224|generation:5.578617
sequence:49|latency:0.064822|reception:6.171105|generation:6.106283
sequence:50|latency:0.222254|reception:6.521635|generation:6.299381
sequence:51|latency:0.248178|reception:6.587225|generation:6.339047
sequence:52|latency:0.2389|reception:6.651582|generation:6.412682
sequence:53|latency:0.124314|reception:6.937465|generation:6.813151
sequence:54|latency:0.102344|reception:7.257529|generation:7.155185
sequence:55|latency:0.159891|reception:7.354137|generation:7.194246
sequence:56|latency:0.234424|reception:7.437034|generation:7.20261
sequence:57|latency:0.307013|reception:7.58321|generation:7.276197
sequence:58|latency:0.2223|reception:7.737804|generation:7.515504
sequence:59|latency:0.266807|reception:7.82821|generation:7.561403
sequence:60|latency:0.389238|reception:7.972441|generation:7.583203
sequence:61|latency:0.461659|reception:8.105744|generation:7.644085
sequence:62|latency:0.407133|reception:8.247727|generation:7.840594
sequence:63|latency:0.409778|reception:8.309323|generation:7.899545
sequence:64|latency:0.426395|reception:8.432319|generation:8.005924
sequence:65|latency:0.529681|reception:8.580218|generation:8.050537
sequence:66|latency:0.671636|reception:8.737057|generation:8.065421
sequence:67|latency:0.336056|reception:8.851326|generation:8.51527
sequence:68|latency:0.426199|reception:8.986372|generation:8.560173
sequence:69|latency:0.555079|reception:9.140218|generation:8.585139
sequence:70|latency:0.360442|reception:9.269633|generation:8.909191
sequence:71|latency:0.276822|reception:9.355686|generation:9.078864
sequence:72|latency:0.21401|reception:9.496241|generation:9.282231
sequence:73|latency:0.291844|reception:9.638898|generation:9.347054
sequence:74|latency:0.402481|reception:9.780405|generation:9.377924
sequence:75|latency:0.46517|reception:9.9043|generation:9.43913
total run time:9.828991
