sequence:0|latency:0.156991|reception:0.156991|generation:0.0
sequence:1|latency:0.07224|reception:0.42749|generation:0.35525
sequence:2|latency:0.129542|reception:0.658304|generation:0.528762
sequence:3|latency:0.137057|reception:0.846292|generation:0.709235
sequence:4|latency:0.093628|reception:1.027913|generation:0.934285
sequence:5|latency:0.20823|reception:1.151721|generation:0.943491
sequence:6|latency:0.138055|reception:1.693697|generation:1.555642
sequence:7|latency:0.26064|reception:1.826292|generation:1.565652
sequence:8|latency:0.402428|reception:2.065756|generation:1.663328
sequence:9|latency:0.43282|reception:2.151624|generation:1.718804
sequence:10|latency:0.500214|reception:2.303878|generation:1.803664
sequence:11|latency:0.081926|reception:2.391741|generation:2.309815
sequence:12|latency:0.132614|reception:2.635803|generation:2.503189
sequence:13|latency:0.075131|reception:2.732432|generation:2.657301
sequence:14|latency:0.151937|reception:3.316996|generation:3.165059
sequence:15|latency:0.158635|reception:3.43905|generation:3.280415
sequence:16|latency:0.177952|reception:3.516693|generation:3.338741
sequence:17|latency:0.265711|reception:3.65624|generation:3.390529
sequence:18|latency:0.118353|reception:3.806859|generation:3.688506
sequence:19|latency:0.136301|reception:3.887188|generation:3.750887
sequence:20|latency:0.235147|reception:4.010881|generation:3.775734
sequence:21|latency:0.256064|reception:4.111819|generation:3.855755
sequence:22|latency:0.270224|reception:4.269355|generation:3.999131
sequence:23|latency:0.26913|reception:4.415849|generation:4.146719
sequence:24|latency:0.369634|reception:4.554662|generation:4.185028
sequence:25|latency:0.385515|reception:4.637633|generation:4.252118
sequence:26|latency:0.448554|reception:4.728665|generation:4.280111
sequence:27|latency:0.492043|reception:4.879402|generation:4.387359
sequence:28|latency:0.295907|reception:5.015929|generation:4.720022
sequence:29|latency:0.368112|reception:5.124753|generation:4.756641
sequence:30|latency:0.311493|reception:5.259584|generation:4.948091
sequence:31|latency:0.104598|reception:5.325541|generation:5.220943
sequence:32|latency:0.223285|reception:5.466329|generation:5.243044
sequence:33|latency:0.274663|reception:5.600849|generation:5.326186
sequence:34|latency:0.414355|reception:5.860824|generation:5.446469
sequence:35|latency:0.153572|reception:5.993499|generation:5.839927
sequence:36|latency:0.187588|reception:6.12778|generation:5.940192
sequence:37|latency:0.218548|reception:6.274506|generation:6.055958
sequence:38|latency:0.357033|reception:6.413507|generation:6.056474
sequence:39|latency:0.124739|reception:7.27399|generation:7.149251
sequence:40|latency:0.06597|reception:7.514524|generation:7.448554
sequence:41|latency:0.111435|reception:7.645943|generation:7.534508
sequence:42|latency:0.087069|reception:8.125377|generation:8.038308
sequence:43|latency:0.095269|reception:8.271266|generation:8.175997
sequence:44|latency:0.158285|reception:8.35129|generation:8.193005
sequence:45|latency:0.108538|reception:8.708324|generation:8.599786
sequence:46|latency:0.207908|reception:8.834786|generation:8.626878
sequence:47|latency:0.227928|reception:8.93942|generation:8.711492
sequence:48|latency:0.280959|reception:9.032851|generation:8.751892
sequence:49|latency:0.398049|reception:9.157006|generation:8.758957
sequence:50|latency:0.271515|reception:9.261167|generation:8.989652
sequence:51|latency:0.318531|reception:9.38252|generation:9.063989
sequence:52|latency:0.354269|reception:9.510978|generation:9.156709
sequence:53|latency:0.384925|reception:9.623153|generation:9.238228
sequence:54|latency:0.525031|reception:9.77047|generation:9.245439
sequence:55|latency:0.473844|reception:9.89743|generation:9.423586
sequence:56|latency:0.395269|reception:10.055587|generation:9.660318
sequence:57|latency:0.481667|reception:10.178895|generation:9.697228
sequence:58|latency:0.542951|reception:10.279549|generation:9.736598
sequence:59|latency:0.486441|reception:10.400701|generation:9.91426
sequence:60|latency:0.479512|reception:10.480313|generation:10.000801
sequence:61|latency:0.14983|reception:10.702818|generation:10.552988
sequence:62|latency:0.097252|reception:10.768738|generation:10.671486
sequence:63|latency:0.067671|reception:10.869058|generation:10.801387
sequence:64|latency:0.104658|reception:10.984055|generation:10.879397
sequence:65|latency:0.202813|reception:11.102556|generation:10.899743
sequence:66|latency:0.237321|reception:11.246061|generation:11.00874
sequence:67|latency:0.060727|reception:11.438982|generation:11.378255
sequence:68|latency:0.105002|reception:11.649671|generation:11.544669
sequence:69|latency:0.252255|reception:11.907176|generation:11.654921
sequence:70|latency:0.105911|reception:12.129421|generation:12.02351
sequence:71|latency:0.14799|reception:12.290435|generation:12.142445
sequence:72|latency:0.110956|reception:12.913419|generation:12.802463
sequence:73|latency:0.086486|reception:13.210643|generation:13.124157
sequence:74|latency:0.192894|reception:13.346086|generation:13.153192
sequence:75|latency:0.301992|reception:13.470626|generation:13.168634
sequence:76|latency:0.146738|reception:13.574365|generation:13.427627
sequence:77|latency:0.210629|reception:13.701188|generation:13.490559
sequence:78|latency:0.221336|reception:13.825853|generation:13.604517
sequence:79|latency:0.329057|reception:13.945853|generation:13.616796
sequence:80|latency:0.386816|reception:14.077836|generation:13.69102
sequence:81|latency:0.430449|reception:14.183148|generation:13.752699
sequence:82|latency:0.410695|reception:14.259201|generation:13.848506
total run time:14.10221
