sequence:0|latency:0.143988|reception:0.143988|generation:0.0
sequence:1|latency:0.112598|reception:0.961658|generation:0.84906
sequence:2|latency:0.15167|reception:1.062349|generation:0.910679
sequence:3|latency:0.15311|reception:1.13378|generation:0.98067
sequence:4|latency:0.156513|reception:1.269227|generation:1.112714
sequence:5|latency:0.183807|reception:1.392213|generation:1.208406
sequence:6|latency:0.168417|reception:1.462489|generation:1.294072
sequence:7|latency:0.224128|reception:1.527068|generation:1.30294
sequence:8|latency:0.202157|reception:1.590524|generation:1.388367
sequence:9|latency:0.279397|reception:1.679588|generation:1.400191
sequence:10|latency:0.304229|reception:1.784395|generation:1.480166
sequence:11|latency:0.074545|reception:2.025605|generation:1.95106
sequence:12|latency:0.207509|reception:2.16631|generation:1.958801
sequence:13|latency:0.13509|reception:2.339046|generation:2.203956
sequence:14|latency:0.138053|reception:2.747895|generation:2.609842
sequence:15|latency:0.100021|reception:3.224576|generation:3.124555
sequence:16|latency:0.119483|reception:3.303567|generation:3.184084
sequence:17|latency:0.216485|reception:3.443|generation:3.226515
sequence:18|latency:0.238133|reception:3.539581|generation:3.301448
sequence:19|latency:0.135447|reception:3.80546|generation:3.670013
sequence:20|latency:0.102311|reception:3.880785|generation:3.778474
sequence:21|latency:0.09246|reception:3.960395|generation:3.867935
sequence:22|latency:0.096857|reception:4.053866|generation:3.957009
sequence:23|latency:0.152539|reception:4.133758|generation:3.981219
sequence:24|latency:0.277127|reception:4.281703|generation:4.004576
sequence:25|latency:0.297641|reception:4.42149|generation:4.123849
sequence:26|latency:0.296355|reception:4.500316|generation:4.203961
sequence:27|latency:0.135664|reception:4.831496|generation:4.695832
sequence:28|latency:0.09994|reception:5.022548|generation:4.922608
sequence:29|latency:0.070565|reception:5.574007|generation:5.503442
sequence:30|latency:0.124167|reception:6.228244|generation:6.104077
sequence:31|latency:0.137315|reception:6.762451|generation:6.625136
sequence:32|latency:0.102314|reception:7.277884|generation:7.17557
sequence:33|latency:0.119298|reception:7.350042|generation:7.230744
sequence:34|latency:0.142751|reception:7.432644|generation:7.289893
sequence:35|latency:0.156742|reception:7.565653|generation:7.408911
sequence:36|latency:0.149633|reception:7.769893|generation:7.62026
sequence:37|latency:0.059427|reception:7.880829|generation:7.821402
sequence:38|latency:0.115349|reception:8.074347|generation:7.958998
sequence:39|latency:0.207978|reception:8.188233|generation:7.980255
sequence:40|latency:0.101413|reception:8.325956|generation:8.224543
sequence:41|latency:0.149544|reception:8.852512|generation:8.702968
sequence:42|latency:0.23078|reception:8.944245|generation:8.713465
sequence:43|latency:0.137799|reception:9.132089|generation:8.99429
sequence:44|latency:0.129372|reception:9.33195|generation:9.202578
sequence:45|latency:0.07496|reception:9.87961|generation:9.80465
total run time:9.735622
