sequence:0|latency:0.158575|reception:0.158575|generation:0.0
sequence:1|latency:0.182096|reception:0.264384|generation:0.082288
sequence:2|latency:0.181438|reception:0.372661|generation:0.191223
sequence:3|latency:0.203616|reception:0.622693|generation:0.419077
sequence:4|latency:0.180724|reception:0.74532|generation:0.564596
sequence:5|latency:0.15355|reception:1.46475|generation:1.3112
sequence:6|latency:0.113228|reception:1.583468|generation:1.47024
sequence:7|latency:0.105888|reception:1.744007|generation:1.638119
sequence:8|latency:0.063364|reception:1.948166|generation:1.884802
sequence:9|latency:0.105759|reception:2.106814|generation:2.001055
sequence:10|latency:0.084518|reception:2.182329|generation:2.097811
sequence:11|latency:0.095828|reception:2.377319|generation:2.281491
sequence:12|latency:0.108418|reception:2.728091|generation:2.619673
sequence:13|latency:0.147717|reception:2.889656|generation:2.741939
sequence:14|latency:0.108869|reception:3.940614|generation:3.831745
sequence:15|latency:0.062567|reception:4.019753|generation:3.957186
sequence:16|latency:0.1184|reception:4.317576|generation:4.199176
sequence:17|latency:0.18125|reception:4.382506|generation:4.201256
sequence:18|latency:0.12427|reception:4.728686|generation:4.604416
sequence:19|latency:0.242968|reception:4.872699|generation:4.629731
sequence:20|latency:0.119825|reception:5.932403|generation:5.812578
sequence:21|latency:0.069041|reception:6.160919|generation:6.091878
sequence:22|latency:0.180264|reception:6.281872|generation:6.101608
sequence:23|latency:0.144905|reception:7.253551|generation:7.108646
sequence:24|latency:0.1581|reception:7.562274|generation:7.404174
sequence:25|latency:0.112333|reception:7.970665|generation:7.858332
sequence:26|latency:0.145843|reception:8.20454|generation:8.058697
sequence:27|latency:0.088548|reception:9.177744|generation:9.089196
sequence:28|latency:0.107441|reception:9.468793|generation:9.361352
sequence:29|latency:0.107475|reception:9.809954|generation:9.702479
total run time:9.651379
