sequence:0|latency:0.15435|reception:0.15435|generation:0.0
sequence:1|latency:0.241282|reception:0.288667|generation:0.047385
sequence:2|latency:0.072637|reception:0.876121|generation:0.803484
sequence:3|latency:0.131926|reception:1.133564|generation:1.001638
sequence:4|latency:0.254356|reception:1.290213|generation:1.035857
sequence:5|latency:0.098058|reception:1.577903|generation:1.479845
sequence:6|latency:0.07154|reception:1.657166|generation:1.585626
sequence:7|latency:0.14447|reception:2.217336|generation:2.072866
sequence:8|latency:0.104073|reception:2.465962|generation:2.361889
sequence:9|latency:0.085447|reception:2.538157|generation:2.45271
sequence:10|latency:0.135966|reception:2.723888|generation:2.587922
sequence:11|latency:0.133606|reception:2.928003|generation:2.794397
sequence:12|latency:0.131108|reception:3.558808|generation:3.4277
sequence:13|latency:0.228053|reception:3.803409|generation:3.575356
sequence:14|latency:0.333743|reception:3.952824|generation:3.619081
sequence:15|latency:0.317444|reception:4.090082|generation:3.772638
sequence:16|latency:0.194621|reception:4.218694|generation:4.024073
sequence:17|latency:0.102089|reception:4.487644|generation:4.385555
sequence:18|latency:0.128847|reception:5.400756|generation:5.271909
sequence:19|latency:0.149363|reception:5.740299|generation:5.590936
sequence:20|latency:0.126733|reception:5.809627|generation:5.682894
sequence:21|latency:0.164868|reception:5.964243|generation:5.799375
sequence:22|latency:0.25905|reception:6.117367|generation:5.858317
sequence:23|latency:0.372117|reception:6.269415|generation:5.897298
sequence:24|latency:0.122154|reception:6.589044|generation:6.46689
sequence:25|latency:0.146093|reception:6.767713|generation:6.62162
sequence:26|latency:0.205321|reception:6.880038|generation:6.674717
sequence:27|latency:0.140704|reception:7.133269|generation:6.992565
sequence:28|latency:0.191947|reception:7.230518|generation:7.038571
sequence:29|latency:0.089373|reception:7.797191|generation:7.707818
sequence:30|latency:0.0984|reception:8.565318|generation:8.466918
sequence:31|latency:0.138681|reception:8.69852|generation:8.559839
total run time:8.54417
