sequence:0|latency:0.144553|reception:0.144553|generation:0.0
sequence:1|latency:0.157449|reception:0.278785|generation:0.121336
sequence:2|latency:0.163172|reception:0.369774|generation:0.206602
sequence:3|latency:0.264964|reception:0.489629|generation:0.224665
sequence:4|latency:0.239153|reception:0.613074|generation:0.373921
sequence:5|latency:0.308387|reception:0.84649|generation:0.538103
sequence:6|latency:0.298289|reception:0.994257|generation:0.695968
sequence:7|latency:0.245939|reception:1.055789|generation:0.80985
sequence:8|latency:0.302795|reception:1.141866|generation:0.839071
sequence:9|latency:0.331939|reception:1.247524|generation:0.915585
sequence:10|latency:0.067538|reception:1.310004|generation:1.242466
sequence:11|latency:0.121501|reception:1.461287|generation:1.339786
sequence:12|latency:0.22252|reception:1.563351|generation:1.340831
sequence:13|latency:0.08267|reception:1.636862|generation:1.554192
sequence:14|latency:0.066659|reception:1.794513|generation:1.727854
sequence:15|latency:0.170871|reception:1.946227|generation:1.775356
sequence:16|latency:0.199148|reception:2.042692|generation:1.843544
sequence:17|latency:0.270843|reception:2.15238|generation:1.881537
sequence:18|latency:0.325462|reception:2.283539|generation:1.958077
sequence:19|latency:0.431937|reception:2.400983|generation:1.969046
sequence:20|latency:0.564552|reception:2.551459|generation:1.986907
sequence:21|latency:0.632697|reception:2.672383|generation:2.039686
sequence:22|latency:0.688376|reception:2.815009|generation:2.126633
sequence:23|latency:0.510385|reception:2.921013|generation:2.410628
sequence:24|latency:0.560597|reception:3.012379|generation:2.451782
sequence:25|latency:0.415715|reception:3.095306|generation:2.679591
sequence:26|latency:0.059042|reception:3.241247|generation:3.182205
sequence:27|latency:0.159928|reception:3.374862|generation:3.214934
sequence:28|latency:0.218031|reception:3.523486|generation:3.305455
sequence:29|latency:0.188315|reception:3.637107|generation:3.448792
sequence:30|latency:0.203664|reception:3.710007|generation:3.506343
sequence:31|latency:0.348817|reception:3.861088|generation:3.512271
sequence:32|latency:0.456888|reception:4.014319|generation:3.557431
sequence:33|latency:0.340192|reception:4.146326|generation:3.806134
sequence:34|latency:0.378676|reception:4.209631|generation:3.830955
sequence:35|latency:0.466305|reception:4.297309|generation:3.831004
sequence:36|latency:0.473389|reception:4.417109|generation:3.94372
sequence:37|latency:0.407436|reception:4.636722|generation:4.229286
sequence:38|latency:0.445672|reception:4.788972|generation:4.3433
sequence:39|latency:0.325816|reception:4.871976|generation:4.54616
sequence:40|latency:0.331052|reception:4.932224|generation:4.601172
sequence:41|latency:0.369245|reception:5.063463|generation:4.694218
sequence:42|latency:0.435043|reception:5.181894|generation:4.746851
sequence:43|latency:0.456454|reception:5.26001|generation:4.803556
sequence:44|latency:0.495973|reception:5.352169|generation:4.856196
sequence:45|latency:0.561619|reception:5.430167|generation:4.868548
sequence:46|latency:0.541992|reception:5.553154|generation:5.011162
sequence:47|latency:0.57639|reception:5.768349|generation:5.191959
sequence:48|latency:0.627641|reception:5.874566|generation:5.246925
sequence:49|latency:0.727845|reception:5.993459|generation:5.265614
sequence:50|latency:0.647434|reception:6.14885|generation:5.501416
sequence:51|latency:0.715354|reception:6.300609|generation:5.585255
sequence:52|latency:0.789689|reception:6.457469|generation:5.66778
sequence:53|latency:0.842807|reception:6.564349|generation:5.721542
sequence:54|latency:0.846169|reception:6.628542|generation:5.782373
sequence:55|latency:0.755853|reception:6.718683|generation:5.96283
sequence:56|latency:0.808422|reception:6.797279|generation:5.988857
sequence:57|latency:0.891827|reception:6.937947|generation:6.04612
sequence:58|latency:0.404099|reception:7.096182|generation:6.692083
sequence:59|latency:0.324986|reception:7.168809|generation:6.843823
sequence:60|latency:0.449693|reception:7.299871|generation:6.850178
sequence:61|latency:0.521202|reception:7.427893|generation:6.906691
sequence:62|latency:0.489361|reception:7.56907|generation:7.079709
sequence:63|latency:0.585862|reception:7.719965|generation:7.134103
sequence:64|latency:0.687255|reception:7.853453|generation:7.166198
sequence:65|latency:0.575736|reception:8.075147|generation:7.499411
sequence:66|latency:0.647828|reception:8.201694|generation:7.553866
sequence:67|latency:0.54217|reception:8.310823|generation:7.768653
sequence:68|latency:0.382531|reception:8.371624|generation:7.989093
sequence:69|latency:0.118693|reception:8.486672|generation:8.367979
sequence:70|latency:0.151911|reception:8.641892|generation:8.489981
sequence:71|latency:0.246852|reception:8.762354|generation:8.515502
sequence:72|latency:0.261977|reception:8.858473|generation:8.596496
sequence:73|latency:0.109889|reception:9.131197|generation:9.021308
sequence:74|latency:0.077031|reception:9.197922|generation:9.120891
sequence:75|latency:0.102703|reception:9.438416|generation:9.335713
sequence:76|latency:0.186471|reception:9.529979|generation:9.343508
sequence:77|latency:0.267129|reception:9.643333|generation:9.376204
sequence:78|latency:0.219809|reception:9.705983|generation:9.486174
sequence:79|latency:0.278974|reception:9.832441|generation:9.553467
sequence:80|latency:0.363751|reception:9.97476|generation:9.611009
total run time:9.830207
