sequence:0|latency:0.079865|reception:0.079865|generation:0.0
sequence:1|latency:0.193951|reception:0.199392|generation:0.005441
sequence:2|latency:0.203107|reception:0.271275|generation:0.068168
sequence:3|latency:0.096602|reception:0.377586|generation:0.280984
sequence:4|latency:0.241703|reception:0.531048|generation:0.289345
sequence:5|latency:0.166486|reception:0.59434|generation:0.427854
sequence:6|latency:0.229185|reception:0.6831|generation:0.453915
sequence:7|latency:0.10297|reception:0.778375|generation:0.675405
sequence:8|latency:0.142098|reception:0.935499|generation:0.793401
sequence:9|latency:0.160691|reception:1.210866|generation:1.050175
sequence:10|latency:0.099991|reception:1.273402|generation:1.173411
sequence:11|latency:0.172635|reception:1.360098|generation:1.187463
sequence:12|latency:0.21262|reception:1.490153|generation:1.277533
sequence:13|latency:0.260956|reception:1.601897|generation:1.340941
sequence:14|latency:0.377033|reception:1.739772|generation:1.362739
sequence:15|latency:0.422623|reception:1.861482|generation:1.438859
sequence:16|latency:0.416668|reception:1.978901|generation:1.562233
sequence:17|latency:0.456086|reception:2.099518|generation:1.643432
sequence:18|latency:0.125615|reception:2.208611|generation:2.082996
sequence:19|latency:0.159651|reception:2.313384|generation:2.153733
sequence:20|latency:0.23073|reception:2.390293|generation:2.159563
sequence:21|latency:0.29835|reception:2.488493|generation:2.190143
sequence:22|latency:0.26073|reception:2.572717|generation:2.311987
sequence:23|latency:0.348237|reception:2.706961|generation:2.358724
sequence:24|latency:0.332558|reception:2.827974|generation:2.495416
sequence:25|latency:0.278409|reception:2.973821|generation:2.695412
sequence:26|latency:0.34595|reception:3.085158|generation:2.739208
sequence:27|latency:0.363761|reception:3.224332|generation:2.860571
sequence:28|latency:0.482375|reception:3.360543|generation:2.878168
sequence:29|latency:0.512514|reception:3.505077|generation:2.992563
sequence:30|latency:0.54801|reception:3.60111|generation:3.0531
sequence:31|latency:0.436852|reception:3.663479|generation:3.226627
sequence:32|latency:0.367856|reception:3.722758|generation:3.354902
sequence:33|latency:0.261232|reception:3.80446|generation:3.543228
sequence:34|latency:0.283729|reception:3.932014|generation:3.648285
sequence:35|latency:0.217981|reception:4.019393|generation:3.801412
sequence:36|latency:0.295872|reception:4.171596|generation:3.875724
sequence:37|latency:0.212214|reception:4.264449|generation:4.052235
sequence:38|latency:0.241716|reception:4.390135|generation:4.148419
sequence:39|latency:0.297829|reception:4.45383|generation:4.156001
sequence:40|latency:0.285498|reception:4.565185|generation:4.279687
sequence:41|latency:0.333543|reception:4.635572|generation:4.302029
sequence:42|latency:0.423094|reception:4.74766|generation:4.324566
sequence:43|latency:0.496023|reception:4.839651|generation:4.343628
sequence:44|latency:0.487033|reception:4.933671|generation:4.446638
sequence:45|latency:0.49683|reception:4.992628|generation:4.495798
sequence:46|latency:0.484604|reception:5.094137|generation:4.609533
sequence:47|latency:0.605614|reception:5.241267|generation:4.635653
sequence:48|latency:0.552822|reception:5.391643|generation:4.838821
sequence:49|latency:0.601546|reception:5.545267|generation:4.943721
sequence:50|latency:0.633541|reception:5.698493|generation:5.064952
sequence:51|latency:0.521278|reception:5.822123|generation:5.300845
sequence:52|latency:0.459534|reception:5.952501|generation:5.492967
sequence:53|latency:0.55702|reception:6.084883|generation:5.527863
sequence:54|latency:0.615411|reception:6.165163|generation:5.549752
sequence:55|latency:0.686356|reception:6.310913|generation:5.624557
sequence:56|latency:0.837944|reception:6.467802|generation:5.629858
sequence:57|latency:0.830691|reception:6.536596|generation:5.705905
sequence:58|latency:0.916889|reception:6.632141|generation:5.715252
sequence:59|latency:0.961267|reception:6.7003|generation:5.739033
sequence:60|latency:1.108708|reception:6.854813|generation:5.746105
sequence:61|latency:1.186817|reception:7.008918|generation:5.822101
sequence:62|latency:1.001328|reception:7.145054|generation:6.143726
sequence:63|latency:0.944366|reception:7.23731|generation:6.292944
sequence:64|latency:1.022894|reception:7.349199|generation:6.326305
sequence:65|latency:1.091808|reception:7.502769|generation:6.410961
sequence:66|latency:1.180258|reception:7.655726|generation:6.475468
sequence:67|latency:1.132687|reception:7.751505|generation:6.618818
sequence:68|latency:1.15738|reception:7.811854|generation:6.654474
sequence:69|latency:0.911032|reception:7.916411|generation:7.005379
sequence:70|latency:0.871664|reception:8.046042|generation:7.174378
sequence:71|latency:0.6724|reception:8.108345|generation:7.435945
sequence:72|latency:0.764416|reception:8.213914|generation:7.449498
sequence:73|latency:0.591813|reception:8.337041|generation:7.745228
sequence:74|latency:0.716397|reception:8.46392|generation:7.747523
sequence:75|latency:0.754339|reception:8.638553|generation:7.884214
sequence:76|latency:0.806686|reception:8.723646|generation:7.91696
sequence:77|latency:0.78249|reception:8.819034|generation:8.036544
sequence:78|latency:0.694702|reception:8.971547|generation:8.276845
sequence:79|latency:0.753318|reception:9.034412|generation:8.281094
sequence:80|latency:0.846685|reception:9.153169|generation:8.306484
sequence:81|latency:0.918805|reception:9.305747|generation:8.386942
sequence:82|latency:0.732081|reception:9.386586|generation:8.654505
sequence:83|latency:0.423837|reception:9.511934|generation:9.088097
sequence:84|latency:0.330558|reception:9.577034|generation:9.246476
sequence:85|latency:0.43273|reception:9.684658|generation:9.251928
sequence:86|latency:0.455442|reception:9.775264|generation:9.319822
sequence:87|latency:0.359804|reception:9.858025|generation:9.498221
sequence:88|latency:0.343078|reception:9.927499|generation:9.584421
total run time:9.847634
