sequence:0|latency:0.150867|reception:0.150867|generation:0.0
sequence:1|latency:0.180282|reception:0.213816|generation:0.033534
sequence:2|latency:0.17226|reception:0.301525|generation:0.129265
sequence:3|latency:0.150391|reception:0.367199|generation:0.216808
sequence:4|latency:0.065727|reception:0.78576|generation:0.720033
sequence:5|latency:0.149481|reception:0.978996|generation:0.829515
sequence:6|latency:0.170478|reception:1.077736|generation:0.907258
sequence:7|latency:0.091441|reception:1.383495|generation:1.292054
sequence:8|latency:0.129874|reception:1.490941|generation:1.361067
sequence:9|latency:0.163303|reception:1.571578|generation:1.408275
sequence:10|latency:0.212242|reception:1.643291|generation:1.431049
sequence:11|latency:0.173562|reception:1.732718|generation:1.559156
sequence:12|latency:0.059445|reception:1.98245|generation:1.923005
sequence:13|latency:0.136669|reception:2.173215|generation:2.036546
sequence:14|latency:0.106788|reception:2.388916|generation:2.282128
sequence:15|latency:0.115753|reception:2.548606|generation:2.432853
sequence:16|latency:0.153526|reception:2.934262|generation:2.780736
sequence:17|latency:0.14067|reception:3.042238|generation:2.901568
sequence:18|latency:0.124314|reception:3.352524|generation:3.22821
sequence:19|latency:0.09014|reception:3.477565|generation:3.387425
sequence:20|latency:0.240141|reception:3.631122|generation:3.390981
sequence:21|latency:0.28855|reception:3.731692|generation:3.443142
sequence:22|latency:0.346879|reception:3.845228|generation:3.498349
sequence:23|latency:0.115478|reception:4.091306|generation:3.975828
sequence:24|latency:0.116725|reception:4.265411|generation:4.148686
sequence:25|latency:0.101243|reception:4.522358|generation:4.421115
sequence:26|latency:0.123229|reception:4.650194|generation:4.526965
sequence:27|latency:0.235608|reception:4.781381|generation:4.545773
sequence:28|latency:0.190359|reception:4.850881|generation:4.660522
sequence:29|latency:0.138481|reception:5.015194|generation:4.876713
sequence:30|latency:0.215823|reception:5.102438|generation:4.886615
sequence:31|latency:0.098188|reception:5.187296|generation:5.089108
sequence:32|latency:0.237532|reception:5.333958|generation:5.096426
sequence:33|latency:0.328318|reception:5.542881|generation:5.214563
sequence:34|latency:0.402411|reception:5.662587|generation:5.260176
sequence:35|latency:0.523044|reception:5.78826|generation:5.265216
sequence:36|latency:0.56672|reception:5.858956|generation:5.292236
sequence:37|latency:0.45726|reception:5.932516|generation:5.475256
sequence:38|latency:0.064373|reception:6.168515|generation:6.104142
sequence:39|latency:0.098234|reception:6.323039|generation:6.224805
sequence:40|latency:0.176414|reception:6.412013|generation:6.235599
sequence:41|latency:0.262391|reception:6.519837|generation:6.257446
sequence:42|latency:0.295159|reception:6.590239|generation:6.29508
sequence:43|latency:0.385684|reception:6.684473|generation:6.298789
sequence:44|latency:0.326872|reception:6.802421|generation:6.475549
sequence:45|latency:0.442429|reception:6.933923|generation:6.491494
sequence:46|latency:0.428382|reception:7.0833|generation:6.654918
sequence:47|latency:0.348033|reception:7.15128|generation:6.803247
sequence:48|latency:0.294848|reception:7.266358|generation:6.97151
sequence:49|latency:0.264595|reception:7.369472|generation:7.104877
sequence:50|latency:0.35382|reception:7.525718|generation:7.171898
sequence:51|latency:0.31903|reception:7.673343|generation:7.354313
sequence:52|latency:0.075899|reception:8.169049|generation:8.09315
sequence:53|latency:0.122258|reception:8.400379|generation:8.278121
sequence:54|latency:0.127075|reception:8.576362|generation:8.449287
sequence:55|latency:0.138262|reception:8.758971|generation:8.620709
sequence:56|latency:0.088411|reception:8.843741|generation:8.75533
sequence:57|latency:0.1894|reception:8.992351|generation:8.802951
sequence:58|latency:0.154618|reception:9.229403|generation:9.074785
sequence:59|latency:0.203028|reception:9.315491|generation:9.112463
sequence:60|latency:0.290366|reception:9.421531|generation:9.131165
sequence:61|latency:0.089291|reception:9.630844|generation:9.541553
sequence:62|latency:0.228762|reception:9.778299|generation:9.549537
sequence:63|latency:0.29243|reception:9.869395|generation:9.576965
sequence:64|latency:0.287046|reception:9.970485|generation:9.683439
total run time:9.819618
