sequence:0|latency:0.112397|reception:0.112397|generation:0.0
sequence:1|latency:0.245171|reception:0.255732|generation:0.010561
sequence:2|latency:0.330802|reception:0.36674|generation:0.035938
sequence:3|latency:0.373316|reception:0.458382|generation:0.085066
sequence:4|latency:0.443923|reception:0.579207|generation:0.135284
sequence:5|latency:0.446788|reception:0.717644|generation:0.270856
sequence:6|latency:0.349885|reception:0.829391|generation:0.479506
sequence:7|latency:0.423524|reception:1.10926|generation:0.685736
sequence:8|latency:0.482429|reception:1.214018|generation:0.731589
sequence:9|latency:0.504306|reception:1.349957|generation:0.845651
sequence:10|latency:0.545528|reception:1.430151|generation:0.884623
sequence:11|latency:0.455908|reception:1.547874|generation:1.091966
sequence:12|latency:0.464407|reception:1.658322|generation:1.193915
sequence:13|latency:0.581754|reception:1.810725|generation:1.228971
sequence:14|latency:0.712206|reception:1.958049|generation:1.245843
sequence:15|latency:0.76641|reception:2.048216|generation:1.281806
sequence:16|latency:0.912873|reception:2.205864|generation:1.292991
sequence:17|latency:0.967317|reception:2.293207|generation:1.32589
sequence:18|latency:0.975657|reception:2.371228|generation:1.395571
sequence:19|latency:0.943231|reception:2.437284|generation:1.494053
sequence:20|latency:0.852221|reception:2.511594|generation:1.659373
sequence:21|latency:0.895874|reception:2.586138|generation:1.690264
sequence:22|latency:0.864403|reception:2.698268|generation:1.833865
sequence:23|latency:0.699784|reception:2.778441|generation:2.078657
sequence:24|latency:0.695502|reception:2.933873|generation:2.238371
sequence:25|latency:0.615821|reception:3.017558|generation:2.401737
sequence:26|latency:0.472669|reception:3.141437|generation:2.668768
sequence:27|latency:0.596157|reception:3.269894|generation:2.673737
sequence:28|latency:0.672368|reception:3.352611|generation:2.680243
sequence:29|latency:0.695774|reception:3.423584|generation:2.72781
sequence:30|latency:0.763395|reception:3.492252|generation:2.728857
sequence:31|latency:0.725356|reception:3.572781|generation:2.847425
sequence:32|latency:0.778472|reception:3.688367|generation:2.909895
sequence:33|latency:0.833777|reception:3.770406|generation:2.936629
sequence:34|latency:0.684621|reception:3.963658|generation:3.279037
sequence:35|latency:0.600888|reception:4.042623|generation:3.441735
sequence:36|latency:0.494921|reception:4.177359|generation:3.682438
sequence:37|latency:0.397132|reception:4.251322|generation:3.85419
sequence:38|latency:0.394228|reception:4.344324|generation:3.950096
sequence:39|latency:0.463791|reception:4.435889|generation:3.972098
sequence:40|latency:0.538158|reception:4.563186|generation:4.025028
sequence:41|latency:0.427565|reception:4.656003|generation:4.228438
sequence:42|latency:0.155984|reception:4.826593|generation:4.670609
sequence:43|latency:0.13424|reception:5.09671|generation:4.96247
sequence:44|latency:0.226338|reception:5.195002|generation:4.968664
sequence:45|latency:0.288928|reception:5.270357|generation:4.981429
sequence:46|latency:0.419412|reception:5.421543|generation:5.002131
sequence:47|latency:0.469127|reception:5.489335|generation:5.020208
sequence:48|latency:0.542155|reception:5.612091|generation:5.069936
sequence:49|latency:0.599204|reception:5.777653|generation:5.178449
sequence:50|latency:0.546515|reception:5.867129|generation:5.320614
sequence:51|latency:0.655758|reception:5.984396|generation:5.328638
sequence:52|latency:0.59421|reception:6.123459|generation:5.529249
sequence:53|latency:0.617573|reception:6.203194|generation:5.585621
sequence:54|latency:0.455449|reception:6.357895|generation:5.902446
sequence:55|latency:0.432701|reception:6.427023|generation:5.994322
sequence:56|latency:0.526123|reception:6.532482|generation:6.006359
sequence:57|latency:0.467568|reception:6.676736|generation:6.209168
sequence:58|latency:0.597938|reception:6.909619|generation:6.311681
sequence:59|latency:0.667073|reception:6.997983|generation:6.33091
sequence:60|latency:0.767494|reception:7.114183|generation:6.346689
sequence:61|latency:0.813501|reception:7.265336|generation:6.451835
sequence:62|latency:0.793539|reception:7.420265|generation:6.626726
sequence:63|latency:0.804307|reception:7.52169|generation:6.717383
sequence:64|latency:0.726422|reception:7.622578|generation:6.896156
sequence:65|latency:0.725112|reception:7.767078|generation:7.041966
sequence:66|latency:0.811724|reception:7.888603|generation:7.076879
sequence:67|latency:0.798006|reception:7.994187|generation:7.196181
sequence:68|latency:0.822113|reception:8.089796|generation:7.267683
sequence:69|latency:0.784072|reception:8.240559|generation:7.456487
sequence:70|latency:0.668311|reception:8.311937|generation:7.643626
sequence:71|latency:0.618964|reception:8.452496|generation:7.833532
sequence:72|latency:0.632708|reception:8.575386|generation:7.942678
sequence:73|latency:0.57209|reception:8.68674|generation:8.11465
sequence:74|latency:0.567812|reception:8.826538|generation:8.258726
sequence:75|latency:0.5919|reception:8.975183|generation:8.383283
sequence:76|latency:0.510692|reception:9.126525|generation:8.615833
sequence:77|latency:0.355707|reception:9.19842|generation:8.842713
sequence:78|latency:0.29361|reception:9.317423|generation:9.023813
sequence:79|latency:0.344462|reception:9.39193|generation:9.047468
sequence:80|latency:0.429297|reception:9.544326|generation:9.115029
sequence:81|latency:0.50622|reception:9.694768|generation:9.188548
sequence:82|latency:0.591726|reception:9.813673|generation:9.221947
sequence:83|latency:0.651295|reception:9.90373|generation:9.252435
total run time:9.791333
