sequence:0|latency:0.089841|reception:0.089841|generation:0.0
sequence:1|latency:0.100444|reception:0.358638|generation:0.258194
sequence:2|latency:0.154992|reception:0.650611|generation:0.495619
sequence:3|latency:0.163222|reception:0.770143|generation:0.606921
sequence:4|latency:0.324191|reception:1.009528|generation:0.685337
sequence:5|latency:0.418494|reception:1.126529|generation:0.708035
sequence:6|latency:0.48417|reception:1.19576|generation:0.71159
sequence:7|latency:0.361963|reception:1.268704|generation:0.906741
sequence:8|latency:0.246126|reception:1.345937|generation:1.099811
sequence:9|latency:0.257884|reception:1.459|generation:1.201116
sequence:10|latency:0.394173|reception:1.596296|generation:1.202123
sequence:11|latency:0.43147|reception:1.688132|generation:1.256662
sequence:12|latency:0.404393|reception:1.836862|generation:1.432469
sequence:13|latency:0.461551|reception:1.942777|generation:1.481226
sequence:14|latency:0.369936|reception:2.003924|generation:1.633988
sequence:15|latency:0.308411|reception:2.143782|generation:1.835371
sequence:16|latency:0.424001|reception:2.297636|generation:1.873635
sequence:17|latency:0.552874|reception:2.446054|generation:1.89318
sequence:18|latency:0.625849|reception:2.540399|generation:1.91455
sequence:19|latency:0.671791|reception:2.614868|generation:1.943077
sequence:20|latency:0.754431|reception:2.700596|generation:1.946165
sequence:21|latency:0.89625|reception:2.850705|generation:1.954455
sequence:22|latency:0.656215|reception:2.916456|generation:2.260241
sequence:23|latency:0.726549|reception:3.041399|generation:2.31485
sequence:24|latency:0.574505|reception:3.184548|generation:2.610043
sequence:25|latency:0.548646|reception:3.244295|generation:2.695649
sequence:26|latency:0.496286|reception:3.369648|generation:2.873362
sequence:27|latency:0.428855|reception:3.437269|generation:3.008414
sequence:28|latency:0.505388|reception:3.519369|generation:3.013981
sequence:29|latency:0.481148|reception:3.623735|generation:3.142587
sequence:30|latency:0.47507|reception:3.687693|generation:3.212623
sequence:31|latency:0.261783|reception:3.754303|generation:3.49252
sequence:32|latency:0.272721|reception:3.855877|generation:3.583156
sequence:33|latency:0.364125|reception:3.988206|generation:3.624081
sequence:34|latency:0.409027|reception:4.115577|generation:3.70655
sequence:35|latency:0.106533|reception:4.312901|generation:4.206368
sequence:36|latency:0.16215|reception:4.442322|generation:4.280172
sequence:37|latency:0.182289|reception:4.551954|generation:4.369665
sequence:38|latency:0.101294|reception:4.655524|generation:4.55423
sequence:39|latency:0.169438|reception:4.756767|generation:4.587329
sequence:40|latency:0.232861|reception:4.828828|generation:4.595967
sequence:41|latency:0.131718|reception:4.916776|generation:4.785058
sequence:42|latency:0.1005|reception:4.995792|generation:4.895292
sequence:43|latency:0.113155|reception:5.223778|generation:5.110623
sequence:44|latency:0.214889|reception:5.339048|generation:5.124159
sequence:45|latency:0.32401|reception:5.49121|generation:5.1672
sequence:46|latency:0.434039|reception:5.722742|generation:5.288703
sequence:47|latency:0.489731|reception:5.835485|generation:5.345754
sequence:48|latency:0.558917|reception:5.976262|generation:5.417345
sequence:49|latency:0.504479|reception:6.110424|generation:5.605945
sequence:50|latency:0.53766|reception:6.249346|generation:5.711686
sequence:51|latency:0.52338|reception:6.312041|generation:5.788661
sequence:52|latency:0.39194|reception:6.41221|generation:6.02027
sequence:53|latency:0.394487|reception:6.49744|generation:6.102953
sequence:54|latency:0.293784|reception:6.606911|generation:6.313127
sequence:55|latency:0.253736|reception:6.739683|generation:6.485947
sequence:56|latency:0.155058|reception:7.12956|generation:6.974502
sequence:57|latency:0.141058|reception:7.221802|generation:7.080744
sequence:58|latency:0.200027|reception:7.346642|generation:7.146615
sequence:59|latency:0.312279|reception:7.461839|generation:7.14956
sequence:60|latency:0.410504|reception:7.590327|generation:7.179823
sequence:61|latency:0.432805|reception:7.840898|generation:7.408093
sequence:62|latency:0.208899|reception:7.927356|generation:7.718457
sequence:63|latency:0.185599|reception:8.068063|generation:7.882464
sequence:64|latency:0.289351|reception:8.187594|generation:7.898243
sequence:65|latency:0.351437|reception:8.313385|generation:7.961948
sequence:66|latency:0.31277|reception:8.430498|generation:8.117728
sequence:67|latency:0.329022|reception:8.550527|generation:8.221505
sequence:68|latency:0.145481|reception:8.668883|generation:8.523402
sequence:69|latency:0.132893|reception:8.739097|generation:8.606204
sequence:70|latency:0.129747|reception:8.93506|generation:8.805313
sequence:71|latency:0.130494|reception:9.408328|generation:9.277834
sequence:72|latency:0.223833|reception:9.539948|generation:9.316115
sequence:73|latency:0.237493|reception:9.613824|generation:9.376331
sequence:74|latency:0.177029|reception:9.753698|generation:9.576669
sequence:75|latency:0.225763|reception:9.859505|generation:9.633742
total run time:9.769664
